axis,freq,target,model,fold_id,fold_start,fold_end,wape_false,wape_true,delta_true_minus_false,improves_with_weather
service,daily,conteo_servicios,model_p50,1,2024-11-15,2024-12-12,0.1443906472080134,0.1538063288465092,0.009415681638495793,False
service,daily,conteo_servicios,model_p80,1,2024-11-15,2024-12-12,0.1613889689061899,0.1459703905872853,-0.015418578318904586,True
service,daily,m3_out,model_p50,1,2024-11-15,2024-12-12,0.0843943475338263,0.1125653777251929,0.028171030191366603,False
service,daily,m3_out,model_p80,1,2024-11-15,2024-12-12,0.1821991685037835,0.1657328524124399,-0.016466316091343608,True
service,daily,cajas_out,model_p50,1,2024-11-15,2024-12-12,0.2504578802350855,0.2420556446458147,-0.008402235589270779,True
service,daily,cajas_out,model_p80,1,2024-11-15,2024-12-12,0.5263979016498915,0.4451034220157422,-0.08129447963414932,True
service,daily,pales_out,model_p50,1,2024-11-15,2024-12-12,0.2003525927455094,0.1915496044167247,-0.008802988328784705,True
service,daily,pales_out,model_p80,1,2024-11-15,2024-12-12,0.3139021437729959,0.312092586571296,-0.0018095572016998962,True
service,daily,peso_facturable_out,model_p50,1,2024-11-15,2024-12-12,0.1986704352861367,0.1915500076485868,-0.007120427637549914,True
service,daily,peso_facturable_out,model_p80,1,2024-11-15,2024-12-12,0.3429974826087533,0.3164721028102466,-0.026525379798506665,True
service,daily,m3_in,model_p50,1,2024-11-15,2024-12-12,0.2692024015081623,0.2873785691599013,0.01817616765173896,False
service,daily,m3_in,model_p80,1,2024-11-15,2024-12-12,0.465146456271916,0.5181587349466568,0.05301227867474079,False
service,daily,cajas_in,model_p50,1,2024-11-15,2024-12-12,0.2706260904587309,0.2591791697539863,-0.011446920704744568,True
service,daily,cajas_in,model_p80,1,2024-11-15,2024-12-12,0.4438824055060325,0.4261352742592255,-0.01774713124680699,True
service,daily,pales_in,model_p50,1,2024-11-15,2024-12-12,0.303488227784838,0.2959672580240496,-0.007520969760788421,True
service,daily,pales_in,model_p80,1,2024-11-15,2024-12-12,0.5504021465137235,0.5204175024845483,-0.029984644029175223,True
service,daily,peso_facturable_in,model_p50,1,2024-11-15,2024-12-12,0.3527840986746592,0.3202343421274299,-0.0325497565472293,True
service,daily,peso_facturable_in,model_p80,1,2024-11-15,2024-12-12,0.2705662414936455,0.2614317875081935,-0.009134453985451985,True
service,daily,conteo_servicios,model_p50,2,2024-12-13,2026-01-22,0.1967780567707971,0.179875107323642,-0.01690294944715509,True
service,daily,conteo_servicios,model_p80,2,2024-12-13,2026-01-22,0.2383340306545256,0.2374254616286463,-0.0009085690258792967,True
service,daily,m3_out,model_p50,2,2024-12-13,2026-01-22,0.3036343797078956,0.3105999600199829,0.006965580312087327,False
service,daily,m3_out,model_p80,2,2024-12-13,2026-01-22,0.5365935986213946,0.5890700153417042,0.05247641672030967,False
service,daily,cajas_out,model_p50,2,2024-12-13,2026-01-22,0.282193305200492,0.2881563869150857,0.005963081714593699,False
service,daily,cajas_out,model_p80,2,2024-12-13,2026-01-22,0.3747698194326449,0.4471089965611524,0.07233917712850746,False
service,daily,pales_out,model_p50,2,2024-12-13,2026-01-22,0.2027129408204395,0.2377575022714176,0.03504456145097809,False
service,daily,pales_out,model_p80,2,2024-12-13,2026-01-22,0.3233260860174598,0.3503446511645073,0.02701856514704748,False
service,daily,peso_facturable_out,model_p50,2,2024-12-13,2026-01-22,0.3205162084635269,0.3262258209875444,0.005709612524017471,False
service,daily,peso_facturable_out,model_p80,2,2024-12-13,2026-01-22,0.4623592114934951,0.4645457698261803,0.0021865583326851623,False
service,daily,m3_in,model_p50,2,2024-12-13,2026-01-22,0.6441339216794983,0.6661998717524381,0.022065950072939766,False
service,daily,m3_in,model_p80,2,2024-12-13,2026-01-22,1.0950074451955727,0.9864788114981888,-0.10852863369738386,True
service,daily,cajas_in,model_p50,2,2024-12-13,2026-01-22,0.3462297607670948,0.3353684943334988,-0.010861266433595973,True
service,daily,cajas_in,model_p80,2,2024-12-13,2026-01-22,0.565476487659936,0.5140604385489844,-0.051416049110951545,True
service,daily,pales_in,model_p50,2,2024-12-13,2026-01-22,0.3974044568396119,0.4262862561518566,0.028881799312244716,False
service,daily,pales_in,model_p80,2,2024-12-13,2026-01-22,0.4204787097840312,0.4854564158600694,0.0649777060760382,False
service,daily,peso_facturable_in,model_p50,2,2024-12-13,2026-01-22,0.5747678549635191,0.6288624243242638,0.05409456936074464,False
service,daily,peso_facturable_in,model_p80,2,2024-12-13,2026-01-22,0.899765799530354,0.8844475218147458,-0.01531827771560812,True
service,daily,conteo_servicios,model_p50,3,2026-01-23,2026-02-19,0.1806084090327065,0.1937104646854555,0.013102055652748995,False
service,daily,conteo_servicios,model_p80,3,2026-01-23,2026-02-19,0.1828940414089057,0.165542558261528,-0.017351483147377694,True
service,daily,m3_out,model_p50,3,2026-01-23,2026-02-19,0.1605827111241044,0.1527940626157714,-0.007788648508333024,True
service,daily,m3_out,model_p80,3,2026-01-23,2026-02-19,0.2498868128665548,0.3024518773931732,0.05256506452661838,False
service,daily,cajas_out,model_p50,3,2026-01-23,2026-02-19,0.3609662129980236,0.3417208235750361,-0.019245389422987536,True
service,daily,cajas_out,model_p80,3,2026-01-23,2026-02-19,0.2853460053390221,0.2951792265097128,0.009833221170690687,False
service,daily,pales_out,model_p50,3,2026-01-23,2026-02-19,0.175461959105845,0.2301640116381709,0.05470205253232591,False
service,daily,pales_out,model_p80,3,2026-01-23,2026-02-19,0.3155425745108974,0.3721233314451918,0.056580756934294374,False
service,daily,peso_facturable_out,model_p50,3,2026-01-23,2026-02-19,0.4221605721422157,0.4283911192769229,0.0062305471347072205,False
service,daily,peso_facturable_out,model_p80,3,2026-01-23,2026-02-19,0.6535899142593924,0.6503500336490855,-0.003239880610306889,True
service,daily,m3_in,model_p50,3,2026-01-23,2026-02-19,0.7048841116311748,0.7012169988431795,-0.0036671127879953636,True
service,daily,m3_in,model_p80,3,2026-01-23,2026-02-19,0.6721585518303226,0.7079173020426426,0.03575875021232,False
service,daily,cajas_in,model_p50,3,2026-01-23,2026-02-19,0.4098022905644312,0.4265036978126459,0.016701407248214728,False
service,daily,cajas_in,model_p80,3,2026-01-23,2026-02-19,0.7202290789680198,0.7707482464212712,0.05051916745325136,False
service,daily,pales_in,model_p50,3,2026-01-23,2026-02-19,0.4506577791809084,0.4330173005004247,-0.017640478680483684,True
service,daily,pales_in,model_p80,3,2026-01-23,2026-02-19,0.6165711251668227,0.6028622272392936,-0.013708897927529051,True
service,daily,peso_facturable_in,model_p50,3,2026-01-23,2026-02-19,0.689063374520469,0.6437344459525874,-0.04532892856788151,True
service,daily,peso_facturable_in,model_p80,3,2026-01-23,2026-02-19,0.9902088931269822,1.0279722643552929,0.03776337122831064,False
workload,daily,conteo_movimientos,model_p50,1,2024-11-12,2024-12-15,0.0153031334567611,0.0130899880397318,-0.0022131454170292997,True
workload,daily,conteo_movimientos,model_p80,1,2024-11-12,2024-12-15,0.0504290095837894,0.0596921767000777,0.009263167116288294,False
workload,daily,unidades_movidas,model_p50,1,2024-11-12,2024-12-15,0.2596937080261441,0.2674607117829545,0.007767003756810387,False
workload,daily,unidades_movidas,model_p80,1,2024-11-12,2024-12-15,0.3216992192762244,0.3565540135514195,0.03485479427519511,False
workload,daily,skus_distintos,model_p50,1,2024-11-12,2024-12-15,0.2668060789629804,0.2697652187808063,0.002959139817825862,False
workload,daily,skus_distintos,model_p80,1,2024-11-12,2024-12-15,0.2127927381997152,0.2234847458631484,0.0106920076634332,False
workload,daily,workload_atribuible_movs,model_p50,1,2024-11-12,2024-12-15,0.0775050108895286,0.0770135572037284,-0.0004914536858001972,True
workload,daily,workload_atribuible_movs,model_p80,1,2024-11-12,2024-12-15,0.1078150681321058,0.1112510873172912,0.003436019185185407,False
workload,daily,workload_no_atribuible_movs,model_p50,1,2024-11-12,2024-12-15,0.027101595820314,0.0254021899209537,-0.001699405899360299,True
workload,daily,workload_no_atribuible_movs,model_p80,1,2024-11-12,2024-12-15,0.0476286760461591,0.0578310848797858,0.010202408833626699,False
workload,daily,picking_movs,model_p50,1,2024-11-12,2024-12-15,0.0095073051589646,0.0118753997819365,0.002368094622971899,False
workload,daily,picking_movs,model_p80,1,2024-11-12,2024-12-15,0.0476111694368833,0.0493949861742352,0.0017838167373518954,False
workload,daily,picking_movs_atribuibles,model_p50,1,2024-11-12,2024-12-15,0.0116149169430435,0.0087284812919621,-0.0028864356510814003,True
workload,daily,picking_movs_atribuibles,model_p80,1,2024-11-12,2024-12-15,0.0242994157594529,0.0299879924842387,0.005688576724785798,False
workload,daily,picking_movs_atribuibles_entrega,model_p50,1,2024-11-12,2024-12-15,0.0116149169430435,0.0087284812919621,-0.0028864356510814003,True
workload,daily,picking_movs_atribuibles_entrega,model_p80,1,2024-11-12,2024-12-15,0.0242994157594529,0.0299879924842387,0.005688576724785798,False
workload,daily,picking_movs_no_atribuibles,model_p50,1,2024-11-12,2024-12-15,0.2527798270420452,0.2421808443031872,-0.01059898273885801,True
workload,daily,picking_movs_no_atribuibles,model_p80,1,2024-11-12,2024-12-15,0.6826141804534483,0.737434610329583,0.05482042987613467,False
workload,daily,conteo_movimientos,model_p50,2,2024-12-16,2026-01-22,0.0261855233780002,0.0261177600815253,-6.776329647489865e-05,True
workload,daily,conteo_movimientos,model_p80,2,2024-12-16,2026-01-22,0.1402606179223464,0.1214169104169347,-0.0188437075054117,True
workload,daily,unidades_movidas,model_p50,2,2024-12-16,2026-01-22,0.5497083386054872,0.5380386245589923,-0.011669714046494861,True
workload,daily,unidades_movidas,model_p80,2,2024-12-16,2026-01-22,0.5273783885746189,0.5452255853561196,0.017847196781500707,False
workload,daily,skus_distintos,model_p50,2,2024-12-16,2026-01-22,0.3610714660558906,0.360494058082826,-0.0005774079730646031,True
workload,daily,skus_distintos,model_p80,2,2024-12-16,2026-01-22,0.3218945382389519,0.3286451415449742,0.006750603306022285,False
workload,daily,workload_atribuible_movs,model_p50,2,2024-12-16,2026-01-22,0.2210604052207145,0.2208087920808093,-0.0002516131399051824,True
workload,daily,workload_atribuible_movs,model_p80,2,2024-12-16,2026-01-22,0.5266148655985539,0.5020126842990398,-0.02460218129951408,True
workload,daily,workload_no_atribuible_movs,model_p50,2,2024-12-16,2026-01-22,0.0536980483411569,0.0617056790284933,0.008007630687336398,False
workload,daily,workload_no_atribuible_movs,model_p80,2,2024-12-16,2026-01-22,0.0775436874875338,0.0945965587018754,0.017052871214341597,False
workload,daily,picking_movs,model_p50,2,2024-12-16,2026-01-22,0.0156542317747716,0.0203443658966784,0.004690134121906803,False
workload,daily,picking_movs,model_p80,2,2024-12-16,2026-01-22,0.0788120525135262,0.1075315636037686,0.0287195110902424,False
workload,daily,picking_movs_atribuibles,model_p50,2,2024-12-16,2026-01-22,0.0252038795529245,0.0229223649815287,-0.0022815145713958006,True
workload,daily,picking_movs_atribuibles,model_p80,2,2024-12-16,2026-01-22,0.0837439952689301,0.0993141512284235,0.015570155959493404,False
workload,daily,picking_movs_atribuibles_entrega,model_p50,2,2024-12-16,2026-01-22,0.0252038795529245,0.0229223649815287,-0.0022815145713958006,True
workload,daily,picking_movs_atribuibles_entrega,model_p80,2,2024-12-16,2026-01-22,0.0837439952689301,0.0993141512284235,0.015570155959493404,False
workload,daily,picking_movs_no_atribuibles,model_p50,2,2024-12-16,2026-01-22,0.2701991439776058,0.2644119463874872,-0.005787197590118587,True
workload,daily,picking_movs_no_atribuibles,model_p80,2,2024-12-16,2026-01-22,0.3528768435030532,0.3896351250710565,0.036758281568003315,False
workload,daily,conteo_movimientos,model_p50,3,2026-01-23,2026-02-26,0.0280332594081283,0.0321843828720668,0.004151123463938498,False
workload,daily,conteo_movimientos,model_p80,3,2026-01-23,2026-02-26,0.0601033412050794,0.0698917062861249,0.009788365081045497,False
workload,daily,unidades_movidas,model_p50,3,2026-01-23,2026-02-26,0.3984634466311931,0.4053782445707334,0.006914797939540307,False
workload,daily,unidades_movidas,model_p80,3,2026-01-23,2026-02-26,0.2616586084421635,0.2692276610032991,0.007569052561135603,False
workload,daily,skus_distintos,model_p50,3,2026-01-23,2026-02-26,0.2190908938939244,0.2066614387354781,-0.01242945515844629,True
workload,daily,skus_distintos,model_p80,3,2026-01-23,2026-02-26,0.2009667604784397,0.2102639152184516,0.009297154740011915,False
workload,daily,workload_atribuible_movs,model_p50,3,2026-01-23,2026-02-26,0.1733482526368051,0.1723166301449247,-0.0010316224918803796,True
workload,daily,workload_atribuible_movs,model_p80,3,2026-01-23,2026-02-26,0.3452228421956568,0.3924077009966801,0.0471848588010233,False
workload,daily,workload_no_atribuible_movs,model_p50,3,2026-01-23,2026-02-26,0.0657927631998241,0.0655837850214239,-0.00020897817840020982,True
workload,daily,workload_no_atribuible_movs,model_p80,3,2026-01-23,2026-02-26,0.0406546983878661,0.052269047390285,0.011614349002418894,False
workload,daily,picking_movs,model_p50,3,2026-01-23,2026-02-26,0.0245790173712657,0.0225482792315439,-0.002030738139721801,True
workload,daily,picking_movs,model_p80,3,2026-01-23,2026-02-26,0.1443559976379013,0.1595139732317121,0.015157975593810796,False
workload,daily,picking_movs_atribuibles,model_p50,3,2026-01-23,2026-02-26,0.0077441978560821,0.018117526022826,0.010373328166743901,False
workload,daily,picking_movs_atribuibles,model_p80,3,2026-01-23,2026-02-26,0.0782676175871244,0.0883214779424175,0.010053860355293098,False
workload,daily,picking_movs_atribuibles_entrega,model_p50,3,2026-01-23,2026-02-26,0.0077441978560821,0.018117526022826,0.010373328166743901,False
workload,daily,picking_movs_atribuibles_entrega,model_p80,3,2026-01-23,2026-02-26,0.0782676175871244,0.0883214779424175,0.010053860355293098,False
workload,daily,picking_movs_no_atribuibles,model_p50,3,2026-01-23,2026-02-26,0.7552727199363419,0.8290589585140873,0.07378623857774536,False
workload,daily,picking_movs_no_atribuibles,model_p80,3,2026-01-23,2026-02-26,1.802996115370036,1.8274800225680603,0.02448390719802429,False
service,weekly,conteo_servicios,model_p50,1,2024-11-11,2024-12-30,0.1507446499093407,0.1723518287667898,0.021607178857449116,False
service,weekly,conteo_servicios,model_p80,1,2024-11-11,2024-12-30,0.1418890962319217,0.128309809164159,-0.013579287067762708,True
service,weekly,m3_out,model_p50,1,2024-11-11,2024-12-30,0.1881994709739481,0.2140899037563401,0.025890432782392003,False
service,weekly,m3_out,model_p80,1,2024-11-11,2024-12-30,0.2588396159052687,0.2637615404968078,0.004921924591539062,False
service,weekly,cajas_out,model_p50,1,2024-11-11,2024-12-30,0.2226304630028989,0.2231067247935008,0.0004762617906018951,False
service,weekly,cajas_out,model_p80,1,2024-11-11,2024-12-30,0.3348428934014399,0.3379633571827213,0.0031204637812813907,False
service,weekly,pales_out,model_p50,1,2024-11-11,2024-12-30,0.1203914864119698,0.1344823155836908,0.014090829171721012,False
service,weekly,pales_out,model_p80,1,2024-11-11,2024-12-30,0.1960629007664446,0.2224995844321854,0.026436683665740812,False
service,weekly,peso_facturable_out,model_p50,1,2024-11-11,2024-12-30,0.1968996096804622,0.2365510683206489,0.03965145864018671,False
service,weekly,peso_facturable_out,model_p80,1,2024-11-11,2024-12-30,0.2976419680964708,0.2901959011839787,-0.007446066912492111,True
service,weekly,m3_in,model_p50,1,2024-11-11,2024-12-30,0.34645893454946,0.4934631884939904,0.14700425394453043,False
service,weekly,m3_in,model_p80,1,2024-11-11,2024-12-30,0.7019409412705616,0.8875493069145697,0.18560836564400807,False
service,weekly,cajas_in,model_p50,1,2024-11-11,2024-12-30,0.2781495611685446,0.232714742912536,-0.04543481825600862,True
service,weekly,cajas_in,model_p80,1,2024-11-11,2024-12-30,0.2504176688599873,0.2461307948598834,-0.004286874000103885,True
service,weekly,pales_in,model_p50,1,2024-11-11,2024-12-30,0.2560570612464752,0.2452691953492188,-0.010787865897256416,True
service,weekly,pales_in,model_p80,1,2024-11-11,2024-12-30,0.6461624961765468,0.3615234880541673,-0.28463900812237947,True
service,weekly,peso_facturable_in,model_p50,1,2024-11-11,2024-12-30,0.1903581117584218,0.1755703832397218,-0.0147877285187,True
service,weekly,peso_facturable_in,model_p80,1,2024-11-11,2024-12-30,0.339616183428873,0.3238691376022988,-0.015747045826574213,True
service,weekly,conteo_servicios,model_p50,2,2024-12-09,2026-01-19,0.360903965159482,0.3615935978448693,0.000689632685387298,False
service,weekly,conteo_servicios,model_p80,2,2024-12-09,2026-01-19,0.3874548918521268,0.3831805611256655,-0.004274330726461273,True
service,weekly,m3_out,model_p50,2,2024-12-09,2026-01-19,0.7535671406991263,0.7857395057093615,0.03217236501023513,False
service,weekly,m3_out,model_p80,2,2024-12-09,2026-01-19,0.9829545915266246,0.904078465916438,-0.07887612561018653,True
service,weekly,cajas_out,model_p50,2,2024-12-09,2026-01-19,0.3091336145013339,0.481349512176159,0.1722158976748251,False
service,weekly,cajas_out,model_p80,2,2024-12-09,2026-01-19,0.349613558644911,0.5050832331232995,0.1554696744783885,False
service,weekly,pales_out,model_p50,2,2024-12-09,2026-01-19,0.1901727841962802,0.2407269747530133,0.0505541905567331,False
service,weekly,pales_out,model_p80,2,2024-12-09,2026-01-19,0.4448754423715316,0.4596076870611466,0.014732244689614982,False
service,weekly,peso_facturable_out,model_p50,2,2024-12-09,2026-01-19,0.3516679816704398,0.322625167074684,-0.02904281459575575,True
service,weekly,peso_facturable_out,model_p80,2,2024-12-09,2026-01-19,0.3643974435744707,0.3166567199097009,-0.04774072366476978,True
service,weekly,m3_in,model_p50,2,2024-12-09,2026-01-19,0.4841145979112249,0.5250108699865605,0.04089627207533564,False
service,weekly,m3_in,model_p80,2,2024-12-09,2026-01-19,0.7628610965235458,0.7354988603267854,-0.02736223619676048,True
service,weekly,cajas_in,model_p50,2,2024-12-09,2026-01-19,0.3274168618009537,0.2551955502626556,-0.07222131153829808,True
service,weekly,cajas_in,model_p80,2,2024-12-09,2026-01-19,0.5462342024299899,0.4350014743325145,-0.11123272809747536,True
service,weekly,pales_in,model_p50,2,2024-12-09,2026-01-19,0.3690393629348948,0.373932470672121,0.004893107737226177,False
