axis,freq,target,model,fold_id,fold_start,fold_end,wape_false,wape_true,delta_true_minus_false,improves_with_weather
service,daily,peso_facturable_out,model_p50,2,2024-12-13,2026-01-22,0.3205162084635269,0.3205162084635269,0.0,False
service,daily,peso_facturable_out,model_p50,3,2026-01-23,2026-02-19,0.4221605721422157,0.4221605721422157,0.0,False
service,daily,peso_facturable_out,model_p80,1,2024-11-15,2024-12-12,0.3429974826087533,0.3429974826087533,0.0,False
service,daily,peso_facturable_out,model_p80,2,2024-12-13,2026-01-22,0.4623592114934951,0.4623592114934951,0.0,False
service,daily,peso_facturable_out,model_p80,3,2026-01-23,2026-02-19,0.6535899142593924,0.6535899142593924,0.0,False
service,weekly,cajas_in,model_p50,1,2024-11-11,2024-12-30,0.2781495611685446,0.2781495611685446,0.0,False
service,weekly,cajas_in,model_p50,2,2024-12-09,2026-01-19,0.3274168618009537,0.3274168618009537,0.0,False
service,weekly,cajas_in,model_p50,3,2025-12-29,2026-02-16,0.3368709393540665,0.3368709393540665,0.0,False
service,weekly,cajas_in,model_p80,1,2024-11-11,2024-12-30,0.2504176688599873,0.2504176688599873,0.0,False
service,weekly,cajas_in,model_p80,2,2024-12-09,2026-01-19,0.5462342024299899,0.5462342024299899,0.0,False
service,weekly,cajas_in,model_p80,3,2025-12-29,2026-02-16,0.6286378483943574,0.6286378483943574,0.0,False
service,weekly,cajas_out,model_p50,1,2024-11-11,2024-12-30,0.2226304630028989,0.2226304630028989,0.0,False
service,weekly,cajas_out,model_p50,2,2024-12-09,2026-01-19,0.3091336145013339,0.3091336145013339,0.0,False
service,weekly,cajas_out,model_p50,3,2025-12-29,2026-02-16,0.3496954277710524,0.3496954277710524,0.0,False
service,weekly,cajas_out,model_p80,1,2024-11-11,2024-12-30,0.3348428934014399,0.3348428934014399,0.0,False
service,weekly,cajas_out,model_p80,2,2024-12-09,2026-01-19,0.349613558644911,0.349613558644911,0.0,False
service,weekly,cajas_out,model_p80,3,2025-12-29,2026-02-16,0.3937755836009756,0.3937755836009756,0.0,False
service,weekly,conteo_servicios,model_p50,1,2024-11-11,2024-12-30,0.1507446499093407,0.1507446499093407,0.0,False
service,weekly,conteo_servicios,model_p50,2,2024-12-09,2026-01-19,0.360903965159482,0.360903965159482,0.0,False
service,weekly,conteo_servicios,model_p50,3,2025-12-29,2026-02-16,0.167537594370476,0.167537594370476,0.0,False
service,weekly,conteo_servicios,model_p80,1,2024-11-11,2024-12-30,0.1418890962319217,0.1418890962319217,0.0,False
service,weekly,conteo_servicios,model_p80,2,2024-12-09,2026-01-19,0.3874548918521268,0.3874548918521268,0.0,False
service,weekly,conteo_servicios,model_p80,3,2025-12-29,2026-02-16,0.2328336040156226,0.2328336040156226,0.0,False
service,weekly,m3_in,model_p50,1,2024-11-11,2024-12-30,0.34645893454946,0.34645893454946,0.0,False
service,weekly,m3_in,model_p50,2,2024-12-09,2026-01-19,0.4841145979112249,0.4841145979112249,0.0,False
service,weekly,m3_in,model_p50,3,2025-12-29,2026-02-16,0.5717566527416091,0.5717566527416091,0.0,False
service,weekly,m3_in,model_p80,1,2024-11-11,2024-12-30,0.7019409412705616,0.7019409412705616,0.0,False
service,weekly,m3_in,model_p80,2,2024-12-09,2026-01-19,0.7628610965235458,0.7628610965235458,0.0,False
service,weekly,m3_in,model_p80,3,2025-12-29,2026-02-16,0.6035431079618505,0.6035431079618505,0.0,False
service,weekly,m3_out,model_p50,1,2024-11-11,2024-12-30,0.1881994709739481,0.1881994709739481,0.0,False
service,weekly,m3_out,model_p50,2,2024-12-09,2026-01-19,0.7535671406991263,0.7535671406991263,0.0,False
service,weekly,m3_out,model_p50,3,2025-12-29,2026-02-16,0.1598200024282025,0.1598200024282025,0.0,False
service,weekly,m3_out,model_p80,1,2024-11-11,2024-12-30,0.2588396159052687,0.2588396159052687,0.0,False
service,weekly,m3_out,model_p80,2,2024-12-09,2026-01-19,0.9829545915266246,0.9829545915266246,0.0,False
service,weekly,m3_out,model_p80,3,2025-12-29,2026-02-16,0.2713660766252109,0.2713660766252109,0.0,False
service,weekly,pales_in,model_p50,1,2024-11-11,2024-12-30,0.2560570612464752,0.2560570612464752,0.0,False
service,weekly,pales_in,model_p50,2,2024-12-09,2026-01-19,0.3690393629348948,0.3690393629348948,0.0,False
service,weekly,pales_in,model_p50,3,2025-12-29,2026-02-16,0.3449555269564175,0.3449555269564175,0.0,False
service,weekly,pales_in,model_p80,1,2024-11-11,2024-12-30,0.6461624961765468,0.6461624961765468,0.0,False
service,weekly,pales_in,model_p80,2,2024-12-09,2026-01-19,0.5356579989497822,0.5356579989497822,0.0,False
service,weekly,pales_in,model_p80,3,2025-12-29,2026-02-16,0.3676272151852439,0.3676272151852439,0.0,False
service,weekly,pales_out,model_p50,1,2024-11-11,2024-12-30,0.1203914864119698,0.1203914864119698,0.0,False
service,weekly,pales_out,model_p50,2,2024-12-09,2026-01-19,0.1901727841962802,0.1901727841962802,0.0,False
service,weekly,pales_out,model_p50,3,2025-12-29,2026-02-16,0.2319690713436561,0.2319690713436561,0.0,False
service,weekly,pales_out,model_p80,1,2024-11-11,2024-12-30,0.1960629007664446,0.1960629007664446,0.0,False
service,weekly,pales_out,model_p80,2,2024-12-09,2026-01-19,0.4448754423715316,0.4448754423715316,0.0,False
service,weekly,pales_out,model_p80,3,2025-12-29,2026-02-16,0.4008630301142467,0.4008630301142467,0.0,False
service,weekly,peso_facturable_in,model_p50,1,2024-11-11,2024-12-30,0.1903581117584218,0.1903581117584218,0.0,False
service,weekly,peso_facturable_in,model_p50,2,2024-12-09,2026-01-19,0.4073702414005383,0.4073702414005383,0.0,False
service,weekly,peso_facturable_in,model_p50,3,2025-12-29,2026-02-16,0.4915715115935391,0.4915715115935391,0.0,False
service,weekly,peso_facturable_in,model_p80,1,2024-11-11,2024-12-30,0.339616183428873,0.339616183428873,0.0,False
service,weekly,peso_facturable_in,model_p80,2,2024-12-09,2026-01-19,0.838493240982799,0.838493240982799,0.0,False
service,weekly,peso_facturable_in,model_p80,3,2025-12-29,2026-02-16,0.8671496111561772,0.8671496111561772,0.0,False
service,weekly,peso_facturable_out,model_p50,1,2024-11-11,2024-12-30,0.1968996096804622,0.1968996096804622,0.0,False
service,weekly,peso_facturable_out,model_p50,2,2024-12-09,2026-01-19,0.3516679816704398,0.3516679816704398,0.0,False
service,weekly,peso_facturable_out,model_p50,3,2025-12-29,2026-02-16,0.2687507518970896,0.2687507518970896,0.0,False
service,weekly,peso_facturable_out,model_p80,1,2024-11-11,2024-12-30,0.2976419680964708,0.2976419680964708,0.0,False
service,weekly,peso_facturable_out,model_p80,2,2024-12-09,2026-01-19,0.3643974435744707,0.3643974435744707,0.0,False
service,weekly,peso_facturable_out,model_p80,3,2025-12-29,2026-02-16,0.5424436473524965,0.5424436473524965,0.0,False
workload,daily,conteo_movimientos,model_p50,1,2024-11-12,2024-12-15,0.0153031334567611,0.0153031334567611,0.0,False
workload,daily,conteo_movimientos,model_p50,2,2024-12-16,2026-01-22,0.0261855233780002,0.0261855233780002,0.0,False
workload,daily,conteo_movimientos,model_p50,3,2026-01-23,2026-02-26,0.0280332594081283,0.0280332594081283,0.0,False
workload,daily,conteo_movimientos,model_p80,1,2024-11-12,2024-12-15,0.0504290095837894,0.0504290095837894,0.0,False
workload,daily,conteo_movimientos,model_p80,2,2024-12-16,2026-01-22,0.1402606179223464,0.1402606179223464,0.0,False
workload,daily,conteo_movimientos,model_p80,3,2026-01-23,2026-02-26,0.0601033412050794,0.0601033412050794,0.0,False
workload,daily,picking_movs,model_p50,1,2024-11-12,2024-12-15,0.0095073051589646,0.0095073051589646,0.0,False
workload,daily,picking_movs,model_p50,2,2024-12-16,2026-01-22,0.0156542317747716,0.0156542317747716,0.0,False
workload,daily,picking_movs,model_p50,3,2026-01-23,2026-02-26,0.0245790173712657,0.0245790173712657,0.0,False
workload,daily,picking_movs,model_p80,1,2024-11-12,2024-12-15,0.0476111694368833,0.0476111694368833,0.0,False
workload,daily,picking_movs,model_p80,2,2024-12-16,2026-01-22,0.0788120525135262,0.0788120525135262,0.0,False
workload,daily,picking_movs,model_p80,3,2026-01-23,2026-02-26,0.1443559976379013,0.1443559976379013,0.0,False
workload,daily,picking_movs_atribuibles,model_p50,1,2024-11-12,2024-12-15,0.0116149169430435,0.0116149169430435,0.0,False
workload,daily,picking_movs_atribuibles,model_p50,2,2024-12-16,2026-01-22,0.0252038795529245,0.0252038795529245,0.0,False
workload,daily,picking_movs_atribuibles,model_p50,3,2026-01-23,2026-02-26,0.0077441978560821,0.0077441978560821,0.0,False
workload,daily,picking_movs_atribuibles,model_p80,1,2024-11-12,2024-12-15,0.0242994157594529,0.0242994157594529,0.0,False
workload,daily,picking_movs_atribuibles,model_p80,2,2024-12-16,2026-01-22,0.0837439952689301,0.0837439952689301,0.0,False
workload,daily,picking_movs_atribuibles,model_p80,3,2026-01-23,2026-02-26,0.0782676175871244,0.0782676175871244,0.0,False
workload,daily,picking_movs_atribuibles_entrega,model_p50,1,2024-11-12,2024-12-15,0.0116149169430435,0.0116149169430435,0.0,False
workload,daily,picking_movs_atribuibles_entrega,model_p50,2,2024-12-16,2026-01-22,0.0252038795529245,0.0252038795529245,0.0,False
workload,daily,picking_movs_atribuibles_entrega,model_p50,3,2026-01-23,2026-02-26,0.0077441978560821,0.0077441978560821,0.0,False
workload,daily,picking_movs_atribuibles_entrega,model_p80,1,2024-11-12,2024-12-15,0.0242994157594529,0.0242994157594529,0.0,False
workload,daily,picking_movs_atribuibles_entrega,model_p80,2,2024-12-16,2026-01-22,0.0837439952689301,0.0837439952689301,0.0,False
workload,daily,picking_movs_atribuibles_entrega,model_p80,3,2026-01-23,2026-02-26,0.0782676175871244,0.0782676175871244,0.0,False
workload,daily,picking_movs_no_atribuibles,model_p50,1,2024-11-12,2024-12-15,0.2527798270420452,0.2527798270420452,0.0,False
workload,daily,picking_movs_no_atribuibles,model_p50,2,2024-12-16,2026-01-22,0.2701991439776058,0.2701991439776058,0.0,False
workload,daily,picking_movs_no_atribuibles,model_p50,3,2026-01-23,2026-02-26,0.7552727199363419,0.7552727199363419,0.0,False
workload,daily,picking_movs_no_atribuibles,model_p80,1,2024-11-12,2024-12-15,0.6826141804534483,0.6826141804534483,0.0,False
workload,daily,picking_movs_no_atribuibles,model_p80,2,2024-12-16,2026-01-22,0.3528768435030532,0.3528768435030532,0.0,False
workload,daily,picking_movs_no_atribuibles,model_p80,3,2026-01-23,2026-02-26,1.802996115370036,1.802996115370036,0.0,False
workload,daily,skus_distintos,model_p50,1,2024-11-12,2024-12-15,0.2668060789629804,0.2668060789629804,0.0,False
workload,daily,skus_distintos,model_p50,2,2024-12-16,2026-01-22,0.3610714660558906,0.3610714660558906,0.0,False
workload,daily,skus_distintos,model_p50,3,2026-01-23,2026-02-26,0.2190908938939244,0.2190908938939244,0.0,False
workload,daily,skus_distintos,model_p80,1,2024-11-12,2024-12-15,0.2127927381997152,0.2127927381997152,0.0,False
workload,daily,skus_distintos,model_p80,2,2024-12-16,2026-01-22,0.3218945382389519,0.3218945382389519,0.0,False
workload,daily,skus_distintos,model_p80,3,2026-01-23,2026-02-26,0.2009667604784397,0.2009667604784397,0.0,False
workload,daily,unidades_movidas,model_p50,1,2024-11-12,2024-12-15,0.2596937080261441,0.2596937080261441,0.0,False
workload,daily,unidades_movidas,model_p50,2,2024-12-16,2026-01-22,0.5497083386054872,0.5497083386054872,0.0,False
workload,daily,unidades_movidas,model_p50,3,2026-01-23,2026-02-26,0.3984634466311931,0.3984634466311931,0.0,False
workload,daily,unidades_movidas,model_p80,1,2024-11-12,2024-12-15,0.3216992192762244,0.3216992192762244,0.0,False
workload,daily,unidades_movidas,model_p80,2,2024-12-16,2026-01-22,0.5273783885746189,0.5273783885746189,0.0,False
workload,daily,unidades_movidas,model_p80,3,2026-01-23,2026-02-26,0.2616586084421635,0.2616586084421635,0.0,False
workload,daily,workload_atribuible_movs,model_p50,1,2024-11-12,2024-12-15,0.0775050108895286,0.0775050108895286,0.0,False
workload,daily,workload_atribuible_movs,model_p50,2,2024-12-16,2026-01-22,0.2210604052207145,0.2210604052207145,0.0,False
workload,daily,workload_atribuible_movs,model_p50,3,2026-01-23,2026-02-26,0.1733482526368051,0.1733482526368051,0.0,False
workload,daily,workload_atribuible_movs,model_p80,1,2024-11-12,2024-12-15,0.1078150681321058,0.1078150681321058,0.0,False
workload,daily,workload_atribuible_movs,model_p80,2,2024-12-16,2026-01-22,0.5266148655985539,0.5266148655985539,0.0,False
workload,daily,workload_atribuible_movs,model_p80,3,2026-01-23,2026-02-26,0.3452228421956568,0.3452228421956568,0.0,False
workload,daily,workload_no_atribuible_movs,model_p50,1,2024-11-12,2024-12-15,0.027101595820314,0.027101595820314,0.0,False
workload,daily,workload_no_atribuible_movs,model_p50,2,2024-12-16,2026-01-22,0.0536980483411569,0.0536980483411569,0.0,False
workload,daily,workload_no_atribuible_movs,model_p50,3,2026-01-23,2026-02-26,0.0657927631998241,0.0657927631998241,0.0,False
workload,daily,workload_no_atribuible_movs,model_p80,1,2024-11-12,2024-12-15,0.0476286760461591,0.0476286760461591,0.0,False
workload,daily,workload_no_atribuible_movs,model_p80,2,2024-12-16,2026-01-22,0.0775436874875338,0.0775436874875338,0.0,False
workload,daily,workload_no_atribuible_movs,model_p80,3,2026-01-23,2026-02-26,0.0406546983878661,0.0406546983878661,0.0,False
workload,weekly,conteo_movimientos,model_p50,1,2024-11-18,2025-12-29,0.1998665117610802,0.1998665117610802,0.0,False
workload,weekly,conteo_movimientos,model_p50,2,2024-12-16,2026-01-26,0.3885225328773301,0.3885225328773301,0.0,False
workload,weekly,conteo_movimientos,model_p50,3,2026-01-05,2026-02-23,0.1375036080831735,0.1375036080831735,0.0,False
