axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
service,daily,conteo_servicios,naive_t7,1,2024-11-15,2024-12-12,0.798728813559322,0.6689276607867793,0.7349002558159087,0.6440677966101694,0.9393380091054508,2.617310548564527,
service,daily,conteo_servicios,ma7,1,2024-11-15,2024-12-12,0.5744552058111381,0.5506688818559986,0.5285489524587325,0.576271186440678,0.8063155470892381,2.341804175031419,
service,daily,conteo_servicios,ma28,1,2024-11-15,2024-12-12,0.5865617433414043,0.5765437728570799,0.5396880241649227,0.637409200968523,0.9183337190361588,2.59025188687824,
service,daily,conteo_servicios,model_p50,1,2024-11-15,2024-12-12,0.1538063288465092,0.2311220158898999,0.14151525335827939,0.13476267255606866,0.1370597061515051,0.5476376342523948,
service,daily,conteo_servicios,model_p80,1,2024-11-15,2024-12-12,0.14597039058728536,0.2733048122237591,0.13430550590269502,0.08736703876381363,0.08989254266286532,0.35503509623813545,
service,daily,m3_out,naive_t7,1,2024-11-15,2024-12-12,0.9126871091576197,0.5307506691380448,0.5092800996996694,0.6358183376178235,0.920685867019449,2.0697727668129877,
service,daily,m3_out,ma7,1,2024-11-15,2024-12-12,0.6263920759633872,0.63421533762048,0.34952725386047306,0.6002162647406863,0.8406243136007127,1.9538777123241973,
service,daily,m3_out,ma28,1,2024-11-15,2024-12-12,0.6134330530204933,0.7114394639166095,0.34229610922158504,0.617002285061411,0.8603616320833986,2.0085210682443417,
service,daily,m3_out,model_p50,1,2024-11-15,2024-12-12,0.11256537772519296,0.17178255025479303,0.06281156621520427,0.06543404160123581,0.07585496086343751,0.21300674943752904,
service,daily,m3_out,model_p80,1,2024-11-15,2024-12-12,0.16573285241243996,1.157753795270588,0.09247905744830835,0.039026599445279544,0.04099668578325364,0.12704287991409152,
service,daily,cajas_out,naive_t7,1,2024-11-15,2024-12-12,0.9360544217687075,0.5572828631049339,0.556157255563469,0.6985645933014354,1.0778733033317716,2.085050796293664,
service,daily,cajas_out,ma7,1,2024-11-15,2024-12-12,0.5965014577259474,0.3785992642063647,0.35441167303245147,0.5526315789473684,0.767587065070071,1.6494751162460148,
service,daily,cajas_out,ma28,1,2024-11-15,2024-12-12,0.8014091350826046,1.0319376143691852,0.47615768355524785,0.5544258373205742,0.7595990399980216,1.6548305549351254,
service,daily,cajas_out,model_p50,1,2024-11-15,2024-12-12,0.2420556446458147,1.1717734341666497,0.14381749595871948,0.23300685694745665,0.2011991790769464,0.6954705939562827,
service,daily,cajas_out,model_p80,1,2024-11-15,2024-12-12,0.4451034220157422,1.2562656185897547,0.264458445869455,0.36020857669047285,0.2692582743912623,1.0751377708835483,
service,daily,pales_out,naive_t7,1,2024-11-15,2024-12-12,0.96,0.594185498848001,0.5425244988660095,0.6142131979695431,1.0667279261618883,1.666288127982624,
service,daily,pales_out,ma7,1,2024-11-15,2024-12-12,0.6082758620689656,0.6639256513020679,0.34375474712630766,0.4590282813633067,0.5794248827093401,1.2452897107591507,
service,daily,pales_out,ma28,1,2024-11-15,2024-12-12,0.6368472906403941,1.2750768966180244,0.359901309592558,0.49854967367657727,0.6449421911405324,1.3525065973884935,
service,daily,pales_out,model_p50,1,2024-11-15,2024-12-12,0.1915496044167247,1.1106130437315085,0.10825036785850616,0.25240283578128414,0.2220299039606329,0.6847391917364116,
service,daily,pales_out,model_p80,1,2024-11-15,2024-12-12,0.31209258657129607,1.1406827200026484,0.17637278555144695,0.3557664450597469,0.27908125715688836,0.9651525003001225,
service,daily,peso_facturable_out,naive_t7,1,2024-11-15,2024-12-12,0.9008889697937317,0.4149344853054838,0.41073562165699634,0.5799055395719347,0.8527100811587861,1.3401823443205307,
service,daily,peso_facturable_out,ma7,1,2024-11-15,2024-12-12,0.5491571049537315,0.3049139564209614,0.25037312305219067,0.5729029713696525,0.784141362054219,1.3239991599410086,
service,daily,peso_facturable_out,ma28,1,2024-11-15,2024-12-12,0.6066880656264456,0.31378758424517045,0.27660278696054313,0.440014420895331,0.5435556405254075,1.0168889894820463,
