axis,freq,model,n_rows,mean_false,mean_true,mean_delta,improved,improved_pct
service,daily,model_p50,27,0.32951574173880427,0.33351374264178224,0.0039980009029779275,13,0.48148148148148145
service,weekly,model_p50,27,0.312081606571552,0.32537574802355756,0.013294141452005614,10,0.37037037037037035
workload,daily,model_p50,27,0.15407333920340546,0.15673991109677785,0.002666571893372381,17,0.6296296296296297
workload,weekly,model_p50,27,0.41521162152327945,0.40361150646415084,-0.011600115059128594,12,0.4444444444444444
workload_expected_from_service,daily,expected_picking_p50,1,0.6242480823584456,0.6242480823584456,0.0,0,0.0
workload_expected_from_service,weekly,expected_picking_p50,1,0.5714824128392334,0.5714824128392334,0.0,0,0.0
