axis,freq,n_rows,mean_false,mean_true,mean_delta,improved,improved_pct
service,daily,54,0.40289529866742557,0.40686057137935416,0.0039652727119285835,28,0.5185185185185185
service,weekly,54,0.39100739505243304,0.38507678062932293,-0.005930614423110079,26,0.48148148148148145
workload,daily,54,0.20156540063716694,0.20987009524864972,0.008304694611482758,19,0.35185185185185186
workload,weekly,54,0.5194546703788644,0.5249494601524426,0.005494789773578144,24,0.4444444444444444
workload_expected_from_service,daily,2,0.567430634606906,0.567430634606906,0.0,0,0.0
workload_expected_from_service,weekly,2,0.47067997365181047,0.47067997365181047,0.0,0,0.0
