fecha,eventos_entrega_p50,eventos_entrega_p80,m3_out_p50,m3_out_p80,pales_out_p50,pales_out_p80,cajas_out_p50,cajas_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,eventos_recogida_p50,eventos_recogida_p80,m3_in_p50,m3_in_p80,pales_in_p50,pales_in_p80,cajas_in_p50,cajas_in_p80,peso_facturable_in_p50,peso_facturable_in_p80
2026-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-19,24.0,31.0,29.260998996418355,57.55807647857889,25.0,49.0,514.0,1946.0,5431.88658136302,13581.650164403538,9.0,12.0,8.513113790865647,16.384970442780126,12.0,24.0,15.0,22.0,2178.7043334342125,4756.43512383094
2026-03-20,24.0,36.0,36.89987054189534,64.88398520279881,29.0,57.0,488.0,1948.0,6599.468900920185,15685.20230625213,10.0,16.0,9.352986405977887,15.067381052842915,11.0,26.0,15.0,27.0,2519.96569437321,5281.392866422984
2026-03-21,5.0,9.0,2.83362858345488,12.177842386127532,7.0,24.0,8.0,1508.0,3515.8661071080005,6624.477001098582,4.0,7.0,8.462598366035177,16.006054758252137,6.0,17.0,6.0,11.0,3055.8117904785777,6277.750133177437
2026-03-22,4.0,6.0,0.5603679752460927,8.839792338234558,4.0,14.0,4.0,1499.0,3135.7549054178835,5182.491712016714,3.0,5.0,8.523618708933514,20.37750980249564,12.0,37.0,4.0,9.0,3371.2578294208197,7935.506795978588
2026-03-23,23.0,33.0,31.746256733250867,67.00145580977885,31.0,58.0,498.0,2526.0,5489.606528280705,8952.427146000047,10.0,13.0,20.187940468679503,32.56378024169916,19.0,39.0,15.0,27.0,4787.362845097968,8988.02970990408
2026-03-24,22.0,33.0,37.00851431429972,66.3260258020961,32.0,57.0,509.0,2524.0,4899.718182145797,7347.103422414557,8.0,12.0,7.4909187074275625,20.778741477315503,11.0,21.0,10.0,17.0,3141.734583995934,4126.508755745643
2026-03-25,22.0,32.0,33.8259886377775,61.40862488880004,32.0,55.0,510.0,1902.0,6816.739529718723,9923.769223154424,8.0,11.0,9.826417226683994,31.481910132672525,12.0,17.0,11.0,15.0,3508.4253649577186,5154.6456357806655
2026-03-26,21.0,31.0,33.70074609937136,60.102469509648685,34.0,56.0,512.0,1899.0,6874.588516898666,9908.4175686367,8.0,11.0,8.89175903292674,28.617099962927455,10.0,14.0,11.0,16.0,1830.6980784875864,2798.6277778713466
2026-03-27,19.0,31.0,30.3769881614264,60.62762345391499,32.0,51.0,276.0,1882.0,5390.057140407473,10427.112786181111,8.0,13.0,9.22405769150138,28.59914692101226,8.0,11.0,11.0,18.0,1872.2642589749669,2754.933203302783
2026-03-28,4.0,7.0,3.0364323169017773,9.519523983683321,8.0,20.0,8.0,1505.0,3067.0226504850066,4489.058790969817,3.0,5.0,10.660514065602378,21.34293447146914,3.0,10.0,4.0,7.0,2014.0003372683937,2395.1523379007494
2026-03-29,2.0,4.0,0.8012570204166406,7.161071212139526,5.0,12.0,4.0,1495.0,2572.521406324646,3329.211681829432,2.0,5.0,10.441245787482533,22.70867900164172,9.0,22.0,4.0,8.0,1634.8398790836234,2220.3817401616625
2026-03-30,19.0,28.0,28.68536089267088,64.81037370366403,34.0,44.0,243.0,1239.0,4319.647309520989,7905.030507416153,8.0,12.0,18.63434425427277,28.469548697543125,13.0,28.0,15.0,20.0,2625.485045401227,4095.798370508667
2026-03-31,16.0,25.0,25.206175862581976,44.96906370340585,32.0,40.0,241.0,1236.0,4001.3842357692884,7887.469528304906,5.0,9.0,5.945322310224369,14.963570946182372,7.0,12.0,11.0,15.0,0.0,449.863460532684
2026-04-01,15.0,22.0,26.945586961808864,51.01492874791636,33.0,53.0,69.0,535.0,6756.85068846613,11359.35110746461,5.0,7.0,6.233019690093373,16.426216433045667,7.0,10.0,5.0,12.0,62.794752065637354,1901.6081832225536
2026-04-02,3.0,6.0,4.042112163191444,27.78541987337372,5.0,30.0,31.0,484.0,4428.7640588216855,10238.581123711843,2.0,4.0,5.158266902567755,8.226685168026435,5.0,8.0,5.0,10.0,0.0,0.0
2026-04-03,2.0,4.0,8.753664720952544,45.99674557539091,5.0,54.0,4.0,405.0,3656.508916692788,17148.649336369053,2.0,4.0,3.4997396841288313,15.136520300392224,3.0,14.0,6.0,66.0,22.245003036432795,22.245003036432795
2026-04-04,3.0,4.0,5.046930194505069,9.663706429823705,4.0,10.0,7.0,291.0,2586.760616404632,6119.129884001457,2.0,4.0,8.802850514650745,27.953334027820816,5.0,19.0,7.0,59.0,955.8834695857925,5239.601040065205
2026-04-05,2.0,2.0,2.6901732142737735,9.501432638700669,4.0,7.0,3.0,287.0,2175.5890259787247,3716.0860241338864,2.0,3.0,8.541216040674897,27.82497027338713,8.0,25.0,5.0,59.0,1303.0594400109287,5653.174987076034
2026-04-06,15.0,22.0,30.88837615214058,53.92044437353057,36.0,68.0,45.0,460.0,5986.7255309894035,18736.917303758528,7.0,9.0,21.143634366562804,30.391795523033174,14.0,48.0,12.0,71.0,6508.912873786058,18360.871487918586
2026-04-07,15.0,23.0,32.47503440891626,53.143166284292064,33.0,66.0,45.0,462.0,5814.486849328846,18959.167666560676,5.0,8.0,9.64612355513038,27.705243937656228,12.0,23.0,7.0,69.0,2174.307925875947,4595.402242467777
2026-04-08,16.0,26.0,39.630564139591826,57.72325172291296,36.0,75.0,52.0,372.0,8459.54603514789,28000.692431639163,5.0,9.0,9.262648102571758,25.71151019522661,12.0,26.0,7.0,70.0,1834.2939689071513,4605.360098314696
2026-04-09,19.0,27.0,47.289525413956014,60.05871890638281,47.0,83.0,58.0,378.0,9860.362912000704,28957.806983732327,6.0,9.0,10.787343939757227,25.274598286561066,12.0,28.0,7.0,70.0,3779.3455508890866,6647.691659590636
2026-04-10,21.0,31.0,53.27468197528151,72.41306021350127,50.0,107.0,60.0,388.0,10309.836418997023,31506.089800822563,8.0,11.0,10.606298912453756,22.61885689689214,12.0,26.0,7.0,69.0,4054.4452545019594,5829.751813273476
2026-04-11,3.0,6.0,5.3751880504461615,11.293853166751544,6.0,12.0,8.0,293.0,2756.2545509535157,9819.637463937735,2.0,5.0,11.750193082798841,24.112856896467648,5.0,17.0,7.0,57.0,4547.995139961994,4906.338399218865
2026-04-12,2.0,5.0,2.320042064504783,8.852944473676505,4.0,8.0,4.0,289.0,2325.1532537222774,7738.6206108032675,2.0,5.0,11.313398078574743,23.386449542023115,14.0,26.0,7.0,57.0,5471.700824421407,6873.960508778042
2026-04-13,21.0,30.0,40.36448524662636,64.37459122020341,45.0,74.0,93.0,502.0,10106.116841996844,19101.134162797003,11.0,15.0,25.346171645041014,37.97383636479755,32.0,64.0,14.0,74.0,11389.231981497205,24373.3163099766
2026-04-14,19.0,32.0,43.79662912597887,71.62084533803348,47.0,74.0,168.0,502.0,11529.654933374299,20126.44609975216,6.0,11.0,13.073326747922206,20.662685667665855,14.0,31.0,8.0,68.0,4354.574137842267,4556.912413534026
