week_start_date,process,driver,driver_forecast_p50,driver_forecast_p80,productivity_estandar,allowance_pct,setup_hours,shift_hours,utilization_effective,horas_requeridas_p50,horas_requeridas_p80,fte_requeridos_p50,fte_requeridos_p80,week_iso,year,week_end_date
2026-05-04,inbound_ubicacion,inbound_ubicacion_ep_esperados,127.34962719686153,517.2133331209751,28.0,0.12,0.25,8.0,0.85,5.343985087874462,20.938533324839007,0.7858801599815386,3.079196077182207,19,2026,2026-05-10
2026-05-04,no_atribuible,picking_movs_no_atribuibles,101.0,147.0,100.0,0.15,0.25,8.0,0.85,1.4115,1.9405,0.2075735294117647,0.2853676470588235,19,2026,2026-05-10
2026-05-04,picking_out,picking_movs_esperados,170.0,574.0,120.0,0.15,0.5,8.0,0.85,2.1291666666666664,6.000833333333333,0.3131127450980392,0.8824754901960783,19,2026,2026-05-10
2026-05-11,inbound_recepcion,inbound_recepcion_cr_esperados,133.58669190827507,393.1650101673807,22.0,0.12,0.25,8.0,0.85,7.0507770426030945,20.265673244884837,1.0368789768533964,2.980246065424241,20,2026,2026-05-17
2026-05-11,inbound_ubicacion,inbound_ubicacion_ep_esperados,120.55513682886756,487.7266616074872,28.0,0.12,0.25,8.0,0.85,5.072205473154703,19.75906646429949,0.745912569581574,2.905745068279337,20,2026,2026-05-17
2026-05-11,no_atribuible,picking_movs_no_atribuibles,103.0,138.0,100.0,0.15,0.25,8.0,0.85,1.4344999999999999,1.8369999999999997,0.21095588235294116,0.2701470588235294,20,2026,2026-05-17
2026-05-11,picking_out,picking_movs_esperados,111.0,461.0,120.0,0.15,0.5,8.0,0.85,1.56375,4.917916666666667,0.22996323529411766,0.7232230392156863,20,2026,2026-05-17
2026-05-18,inbound_recepcion,inbound_recepcion_cr_esperados,76.78788163538721,249.30303554867348,22.0,0.12,0.25,8.0,0.85,4.15920124689244,12.941790900659742,0.6116472421900647,1.903204544214668,21,2026,2026-05-24
2026-05-18,inbound_ubicacion,inbound_ubicacion_ep_esperados,73.19380324722309,280.8238183389507,28.0,0.12,0.25,8.0,0.85,3.1777521298889235,11.48295273355803,0.4673164896895476,1.6886695196408867,21,2026,2026-05-24
2026-05-18,no_atribuible,picking_movs_no_atribuibles,92.0,139.0,100.0,0.15,0.25,8.0,0.85,1.308,1.8484999999999998,0.1923529411764706,0.2718382352941176,21,2026,2026-05-24
2026-05-18,picking_out,picking_movs_esperados,0.0,281.0,120.0,0.15,0.5,8.0,0.85,0.5,3.1929166666666666,0.07352941176470588,0.469546568627451,21,2026,2026-05-24
