axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,empirical_coverage_p80,pinball_loss_p50,pinball_loss_p80,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
service,daily,conteo_servicios,naive_t7,1,2024-11-09,2024-12-06,0.5120481927710844,0.35811338429846284,0.4350989990736929,,1.1383928571428572,,0.5490196078431373,0.8217876962418197,3.567243035542748,
service,daily,conteo_servicios,ma7,1,2024-11-09,2024-12-06,0.6397016637980493,0.6073364022952246,0.5435690576662942,,1.4221938775510203,,0.5504201680672269,0.7662914252047582,3.5763431453272956,
service,daily,conteo_servicios,ma28,1,2024-11-09,2024-12-06,0.6883964429145152,0.8595266476416619,0.5849461193429101,,1.530452806122449,,0.6472338935574229,0.93379719425794,4.205388234184164,
service,daily,conteo_servicios,model_p50,1,2024-11-09,2024-12-06,0.17442853154970073,0.13554259311936243,0.1482158917043533,,0.38779200317745965,,0.17132281334359659,0.19971971151949555,1.1131662767573673,
service,daily,conteo_servicios,model_p80,1,2024-11-09,2024-12-06,0.15562696692045594,1.1688587300424385,0.13223977448200241,0.8571428571428571,,0.28766201083780035,0.1352727063968966,0.15126379219947686,0.87893148605217,
service,daily,m3_out,naive_t7,1,2024-11-09,2024-12-06,0.5761418035968432,0.15458212038091043,0.3690885959683518,,2.981919642857143,,0.6003218884120171,0.8050937721484419,3.4626196238881346,
service,daily,m3_out,ma7,1,2024-11-09,2024-12-06,0.6809234238397132,0.316099762394634,0.43621391278669536,,3.5242346938775513,,0.5403510116492949,0.7025126241112095,3.116711305786199,
service,daily,m3_out,ma28,1,2024-11-09,2024-12-06,0.6894174075374748,0.3149345011361942,0.44165533796642187,,3.5681967474489795,,0.6045134631105661,0.8095388423443722,3.486796368208721,
service,daily,m3_out,model_p50,1,2024-11-09,2024-12-06,0.09705702856077716,0.05267183750218523,0.062176780398015455,,0.502335116347933,,0.05465932042088481,0.047958808971261924,0.3152715887444836,
service,daily,m3_out,model_p80,1,2024-11-09,2024-12-06,0.12745079576790988,0.048843336106819964,0.08164766897897906,0.9375,,0.44147404378389116,0.07299488771747104,0.06992512512496797,0.4210300099545173,
service,daily,cajas_out,naive_t7,1,2024-11-09,2024-12-06,0.49903660886319845,0.2154320081069287,0.3214667077197212,,1.734375,,0.450402144772118,0.6273222966578169,2.594902433485317,
service,daily,cajas_out,ma7,1,2024-11-09,2024-12-06,0.6857509863290211,0.489116289888888,0.4417433670706373,,2.383290816326531,,0.5082343929528916,0.6958730577454206,2.9280914364243333,
service,daily,cajas_out,ma28,1,2024-11-09,2024-12-06,0.827713551701991,1.0658590738103035,0.5331920457835144,,2.876674107142857,,0.535905783224818,0.7439301249152938,3.0875146514067424,
service,daily,cajas_out,model_p50,1,2024-11-09,2024-12-06,0.25847321625663194,0.09240042950919013,0.16650188059955476,,0.8983098163204819,,0.20644242027127493,0.18280632349889525,1.1893769711233668,
service,daily,cajas_out,model_p80,1,2024-11-09,2024-12-06,0.6100442688628823,1.6780433057962525,0.39297502265689443,0.9821428571428571,,0.863021851835338,0.3894900442123922,0.2751012716826941,2.2439694732279762,
service,daily,pales_out,naive_t7,1,2024-11-09,2024-12-06,0.5678073510773131,0.25735003216813906,0.3505896581007359,,2.0,,0.4774011299435028,0.6375229250526856,2.4687355091260152,
service,daily,pales_out,ma7,1,2024-11-09,2024-12-06,0.6820568531595147,0.5790858353105458,0.4211324113729184,,2.402423469387755,,0.4959644874899112,0.6493449303724924,2.564730296463121,
service,daily,pales_out,ma28,1,2024-11-09,2024-12-06,0.6873528879232301,1.1089228473203108,0.4244024201418745,,2.4210778061224487,,0.5483252623083131,0.7389167730952511,2.8354982020498505,
service,daily,pales_out,model_p50,1,2024-11-09,2024-12-06,0.18889573609848478,0.07276253627203791,0.11663267728007522,,0.6653514990254665,,0.23569556169861686,0.20073738164957441,1.21882828927874,
service,daily,pales_out,model_p80,1,2024-11-09,2024-12-06,0.2176468174194629,1.595765167941183,0.13438488100062143,0.9375,,0.4613962461859881,0.23984885813509252,0.17453824569536738,1.2403058052491513,
service,daily,peso_facturable_out,naive_t7,1,2024-11-09,2024-12-06,0.6336595839974707,0.23136651099669067,0.34838122769309504,,676.4484375,,0.4420508525833391,0.5383928255441344,2.0388636348589566,
service,daily,peso_facturable_out,ma7,1,2024-11-09,2024-12-06,0.6359472009266605,0.4513994931983992,0.3496389421101247,,678.8905293367346,,0.5126788497519184,0.6738816740260621,2.36461994589964,
service,daily,peso_facturable_out,ma28,1,2024-11-09,2024-12-06,0.6374568058619914,0.6810144573276048,0.3504689114406355,,680.5020727040816,,0.5121288828183936,0.6697076223767301,2.3620833427586545,
service,daily,peso_facturable_out,model_p50,1,2024-11-09,2024-12-06,0.1692873668187598,0.0836406964607291,0.09307290882147579,,180.71876077470725,,0.06429569377573649,0.06251418232014976,0.29654993571732174,
service,daily,peso_facturable_out,model_p80,1,2024-11-09,2024-12-06,0.21368920161332425,1.5895976298224006,0.11748470043357596,0.9553571428571429,,104.14723217888556,0.10917115502928013,0.1064436501879667,0.5035282630131002,
