date,axis,tipo_servicio,dow,week_iso,month,year,day,week_of_month,fin_de_mes,is_weekend,is_holiday,is_pre_holiday_1,is_pre_holiday_2,is_post_holiday_1,is_post_holiday_2,is_puente,dias_desde_holiday,dias_hasta_holiday,easter_week_rel,is_semana_santa,post_semana_santa,easter_day_of_year,temp_media_weighted,precip_weighted,viento_weighted,temp_media_weighted_roll3,temp_media_weighted_roll7,precip_weighted_roll3,precip_weighted_roll7,viento_weighted_roll3,viento_weighted_roll7,weather_source,weather_fallback,conteo_servicios_p50,conteo_servicios_p80,m3_out_p50,m3_out_p80,cajas_out_p50,cajas_out_p80,pales_out_p50,pales_out_p80,peso_facturable_out_p50,peso_facturable_out_p80,m3_in_p50,m3_in_p80,cajas_in_p50,cajas_in_p80,pales_in_p50,pales_in_p80,peso_facturable_in_p50,peso_facturable_in_p80,freq,conteo_movimientos_p50,conteo_movimientos_p80,unidades_movidas_p50,unidades_movidas_p80,skus_distintos_p50,skus_distintos_p80,workload_atribuible_movs_p50,workload_atribuible_movs_p80,workload_no_atribuible_movs_p50,workload_no_atribuible_movs_p80,picking_movs_p50,picking_movs_p80,picking_movs_atribuibles_p50,picking_movs_atribuibles_p80,picking_movs_atribuibles_entrega_p50,picking_movs_atribuibles_entrega_p80,picking_movs_no_atribuibles_p50,picking_movs_no_atribuibles_p80,picking_movs_esperados_desde_servicio_p50,picking_movs_esperados_desde_servicio_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80,ratio_method,inbound_method,workload_expected_movs_p50,workload_expected_movs_p80,movimientos_esperados_desde_servicio_p50,movimientos_esperados_desde_servicio_p80
2026-03-21,service,mixto,5.0,12.0,3.0,2026.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,12.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,2.0,3.0,1.5526110989057147,2.6147379681714344,4.0,204.0,3.0,10.0,1433.836478991911,2714.9877832816514,3.7289453731437527,6.968942441401954,3.0,5.0,2.0,7.0,1519.3395110934791,2899.4477968908427,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-21,service,recogida,5.0,12.0,3.0,2026.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,12.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7731185890278895,4.733652992891425,9.037112316850182,3.0,6.0,4.0,10.0,1536.4722793850988,3378.3023362865947,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-22,service,desconocida,6.0,12.0,3.0,2026.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,11.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,0.5102709914441342,2.1991228006163195,2.0,202.0,2.0,7.0,735.130451727063,1779.7594437340663,4.209219699301508,8.72787170818505,3.0,6.0,6.0,16.0,1619.9462599495423,3767.787610313286,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-22,service,entrega,6.0,12.0,3.0,2026.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,11.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,2.0,4.0,0.16823698271476936,6.7816850151492964,2.0,1298.0,2.0,8.0,1891.9740272710308,2941.5749240164314,0.0,0.5133459979090669,0.0,1.0,0.0,1.0,0.0,41.51656348001856,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-22,service,mixto,6.0,12.0,3.0,2026.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,11.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,2.0,2.0,0.3921309925313234,2.058107323085262,2.0,201.0,2.0,6.0,1243.7808781468527,2240.916788000282,3.834276808225071,8.11310468701419,2.0,4.0,5.0,16.0,1677.0625305646,3386.474525844658,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-22,service,recogida,6.0,12.0,3.0,2026.0,22.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,11.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7731185890278895,4.689341900708443,12.264405115481452,2.0,5.0,7.0,21.0,1694.1952988562196,4549.03227013393,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-23,service,desconocida,0.0,13.0,3.0,2026.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,1.0,2.0,2.7182353088798283,6.188204765113298,53.0,312.0,4.0,12.0,665.6186707981216,1874.2850876781854,4.4376171664597965,9.22625177599704,5.0,12.0,6.0,13.0,1037.696273207591,5207.842107128338,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-23,service,entrega,0.0,13.0,3.0,2026.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,17.0,25.0,21.673914783151247,50.43051549636974,435.0,2203.0,19.0,32.0,3126.388596597298,5126.152228010673,0.09285428349421161,3.0965225905571083,0.0,2.0,0.0,2.0,1.9035000228881835,504.8635184396905,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-23,service,mixto,0.0,13.0,3.0,2026.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,6.0,8.0,10.072341950099618,16.5709403134091,63.0,323.0,12.0,26.0,2363.2179316834063,3826.2749179893744,6.2602244545892,13.030736769275398,6.0,12.0,6.0,15.0,2396.8615398357297,5089.127985646381,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2026-03-23,service,recogida,0.0,13.0,3.0,2026.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,10.0,-2,0.0,0.0,95.0,,,,,,,,,,missing,1.0,4.0,5.0,0.0,1.162272967615017,0.0,2.0,0.0,2.0,0.0,345.31826507588517,13.927716014090304,19.533043472423763,9.0,15.0,13.0,24.0,2390.501305262238,3898.9017242576983,daily,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
