fecha,picking_movs_esperados_desde_servicio_p50,picking_movs_esperados_desde_servicio_p80,inbound_recepcion_pales_esperados_p50,inbound_recepcion_pales_esperados_p80,inbound_recepcion_cr_esperados_p50,inbound_recepcion_cr_esperados_p80,inbound_ubicacion_cajas_esperados_p50,inbound_ubicacion_cajas_esperados_p80,inbound_ubicacion_ep_esperados_p50,inbound_ubicacion_ep_esperados_p80,inbound_m3_esperados_p50,inbound_m3_esperados_p80
2026-03-13,16.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-16,14.0,45.0,17.0,41.0,18.788331308517375,40.52263688876483,5.0,10.0,15.781961811792476,34.509601199110364,9.33090905436512,14.4312942603672
2026-03-17,28.0,65.0,14.0,36.0,15.000114435570563,37.0269255575028,6.0,11.0,15.65173406140008,39.685766047990604,9.45059677208965,12.488847777615309
2026-03-18,29.0,48.0,15.0,38.0,10.682313511412882,36.47232772625705,7.0,12.0,9.158551212780313,31.205996729956734,9.611678124764092,13.597170472868076
2026-03-19,30.0,68.0,17.0,43.0,17.357315337044447,54.31456368012361,9.0,16.0,16.678217301714493,52.19004706705835,12.50375767205942,16.45217834799095
2026-03-20,20.0,59.0,15.0,38.0,13.170839997278282,48.72352353422545,9.0,16.0,6.659765671303485,31.489300750589322,11.154563411030496,15.223474252296876
2026-03-23,14.0,45.0,44.0,106.0,73.1334016045901,181.24657268873196,24.0,43.0,49.70369191759204,143.7836064442528,33.149951656944204,56.282813023442884
2026-03-24,27.0,65.0,14.0,35.0,20.174021877935832,44.44581347480318,8.0,14.0,21.79864223702455,46.25795309050908,12.013860206646875,22.07609984827132
2026-03-25,28.0,48.0,13.0,31.0,11.678655010467658,39.16587239201233,8.0,14.0,10.473529925373906,35.014579707088195,10.857171512771139,22.88104373405442
2026-03-26,29.0,67.0,14.0,31.0,16.84331438212694,52.6867958827356,11.0,18.0,16.212086151637095,50.75156645944953,12.626128238110356,23.153428502492865
2026-03-27,18.0,58.0,11.0,21.0,12.610709295374868,46.898270563782894,10.0,16.0,6.389668442540503,30.366692984606445,8.736081355040628,21.34522176158384
2026-03-30,13.0,44.0,28.0,59.0,67.24457402711225,167.24501058073938,27.0,43.0,45.342656860420405,130.99119132669594,27.479617823270168,58.72874325422909
2026-03-31,24.0,62.0,8.0,26.0,17.16697359079545,36.9359444619627,8.0,13.0,18.693194822707564,37.570163242865775,10.326726525341353,18.266618421081425
2026-04-01,35.0,95.0,8.0,24.0,6.771788252514281,23.027575864077182,8.0,14.0,7.1191586503674245,23.473727820416144,8.435081793848736,17.29426706734114
2026-04-06,14.0,83.0,33.0,99.0,42.94996680455474,131.9453158855219,31.0,60.0,38.458679618568866,114.1165091771344,33.12218166814564,94.34331153919331
2026-04-07,28.0,65.0,10.0,31.0,12.6105484041163,41.66698500334834,5.0,9.0,14.259189732435576,43.185190480229814,8.657875393623167,23.232298526767302
2026-04-08,34.0,95.0,10.0,22.0,13.152143605704092,33.355359728293834,5.0,10.0,15.136779144431522,37.942033513767896,7.7814466817717545,20.554086216433028
2026-04-09,37.0,89.0,11.0,27.0,20.025641048078565,49.68305712581139,7.0,13.0,18.633833377308946,47.39390772858986,8.284519278821545,17.604959071521655
2026-04-10,44.0,81.0,10.0,18.0,24.244781310334883,57.65311171445278,6.0,12.0,16.758802574275713,45.02625062042923,8.193394068762803,15.227508930163516
2026-04-13,18.0,87.0,34.0,72.0,66.34895116584364,201.2119233368872,16.0,31.0,57.51832770504879,164.27186011040524,31.776546144006034,55.69081493284121
2026-04-14,35.0,72.0,16.0,38.0,19.852258506663706,67.59538647155705,7.0,12.0,22.624739134682013,69.7529564961091,15.215918917348603,25.818753608277987
2026-04-15,37.0,98.0,16.0,37.0,19.256061409014766,50.13444632452838,7.0,13.0,22.161145989255168,56.32176087822414,14.411544219548722,21.898142846167417
2026-04-16,39.0,91.0,21.0,48.0,28.141992138358443,72.82032160204086,11.0,18.0,28.64830868507642,73.14069068962563,17.707824281374037,25.446258476723962
2026-04-17,49.0,86.0,16.0,37.0,29.647053954499427,70.9474375693231,9.0,15.0,21.268524209861905,57.91576784118895,15.285055394701413,19.527618325132032
2026-04-20,17.0,86.0,55.0,113.0,76.65724640943083,233.10558876000135,27.0,41.0,66.43379581530365,189.9317425653941,46.214007841578464,65.79956348723269
2026-04-21,35.0,72.0,21.0,40.0,23.57767136294946,80.82975843879935,11.0,16.0,27.076551636914502,83.48195246308957,19.409596722553083,27.788036295807892
2026-04-22,39.0,99.0,18.0,35.0,22.119268925184148,58.070286818094075,12.0,17.0,25.5618186233705,64.93702409659765,18.08529300924372,24.515901977932756
2026-04-23,40.0,93.0,21.0,38.0,34.68626962323847,89.19073207297049,17.0,24.0,35.05831356107521,89.31534616516997,22.784538598129622,29.799020076588207
2026-04-24,44.0,81.0,13.0,25.0,36.69436876266484,87.2497412256933,16.0,22.0,25.894104121298533,70.01756640005334,18.9512399435748,20.874325441143576
2026-04-27,19.0,87.0,41.0,80.0,90.7194633747666,270.9324905913142,42.0,55.0,78.40606560220516,220.44057173957273,51.078558388851064,64.82303480779753
2026-04-28,37.0,74.0,23.0,45.0,25.98760470235894,87.67201295153964,13.0,19.0,30.037658611508867,90.56484374924189,21.532411953970332,28.06713701285844
2026-04-29,40.0,100.0,20.0,40.0,23.50540542829552,62.62721519530573,13.0,19.0,27.29675216523369,69.83850458338667,18.82805102922802,22.972575425097027
2026-04-30,32.0,84.0,29.0,56.0,38.03682871630231,98.74414599304522,18.0,28.0,39.62047065060863,101.09027268431379,25.53825682966484,31.77300108820673
2026-05-04,25.0,127.0,68.0,161.0,113.34464310807228,250.93836255694686,56.0,86.0,83.39433189649144,231.40200876812963,59.60487192465177,129.73477817153457
2026-05-05,22.0,120.0,26.0,55.0,27.359017046530308,71.4838380440534,14.0,23.0,30.610707214795024,85.83764773720056,14.91558269541671,45.18187904494304
2026-05-06,43.0,126.0,27.0,51.0,23.482889330918727,77.9270548921371,16.0,26.0,28.01797365406364,88.98893637142089,14.225549089866782,38.90825303727875
2026-05-07,46.0,114.0,36.0,62.0,29.862461359006318,92.9578380979523,24.0,34.0,37.92946438003191,115.60694616082799,17.73888628112746,39.67123859592564
2026-05-08,29.0,77.0,27.0,43.0,27.920338321292903,82.0555335518091,21.0,31.0,27.37368197541061,82.85010736288767,12.98863289721015,31.43875458044332
2026-05-11,26.0,128.0,68.0,120.0,82.32309882993087,231.3516104185071,48.0,74.0,67.60957986933465,229.69135071670888,43.46501715654856,107.27026427873528
2026-05-12,0.0,99.0,28.0,53.0,32.52811150355721,84.51146946723925,13.0,25.0,36.385056275859256,100.61968442676103,22.128504139710156,44.85023323562912
2026-05-13,0.0,83.0,22.0,41.0,22.490276355198183,69.15492907682419,12.0,21.0,28.209199343962805,87.10755076674492,17.39206258263653,33.33818590661211
2026-05-14,0.0,68.0,23.0,39.0,21.278140736994423,59.238157835498995,14.0,23.0,32.80667710847007,95.63736542366908,16.324762476449912,25.546827823619157
2026-05-18,0.0,102.0,9.0,15.0,10.494591860690088,28.685217752552965,8.0,12.0,16.778532110922313,43.62418348839803,7.627534140928427,11.078055678384484
