fecha,process,driver,driver_forecast_p50,driver_forecast_p80,productivity_estandar,allowance_pct,setup_hours,shift_hours,utilization_effective,horas_requeridas_p50,horas_requeridas_p80,fte_requeridos_p50,fte_requeridos_p80
2026-03-26,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.9841883602197754,34.42016415781488,28.0,0.12,0.25,8.0,0.85,0.28936753440879104,1.6268065663125955,0.04255404917776339,0.23923625975185228
2026-03-26,no_atribuible,picking_movs_no_atribuibles,0.0,8.0,100.0,0.15,0.25,8.0,0.85,0.25,0.34199999999999997,0.03676470588235294,0.05029411764705882
2026-03-26,picking_out,picking_movs_esperados,15.0,71.0,120.0,0.15,0.5,8.0,0.85,0.64375,1.1804166666666667,0.09466911764705883,0.1735906862745098
2026-03-27,inbound_recepcion,inbound_recepcion_cr_esperados,5.236162667497703,35.475493391170225,22.0,0.12,0.25,8.0,0.85,0.5165682812544286,2.056025118095939,0.07596592371388655,0.30235663501410864
2026-03-27,inbound_ubicacion,inbound_ubicacion_ep_esperados,3.248173618543791,20.685730747450844,28.0,0.12,0.25,8.0,0.85,0.37992694474175165,1.077429229898034,0.055871609520845834,0.158445474985005
2026-03-27,no_atribuible,picking_movs_no_atribuibles,0.0,8.0,100.0,0.15,0.25,8.0,0.85,0.25,0.34199999999999997,0.03676470588235294,0.05029411764705882
2026-03-27,picking_out,picking_movs_esperados,19.0,55.0,120.0,0.15,0.5,8.0,0.85,0.6820833333333334,1.0270833333333331,0.10030637254901961,0.15104166666666663
2026-03-28,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-03-28,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-03-28,no_atribuible,picking_movs_no_atribuibles,0.0,3.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2845,0.03676470588235294,0.04183823529411764
2026-03-28,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-03-29,inbound_recepcion,inbound_recepcion_cr_esperados,0.0,0.0,22.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-03-29,inbound_ubicacion,inbound_ubicacion_ep_esperados,0.0,0.0,28.0,0.12,0.25,8.0,0.85,0.25,0.25,0.03676470588235294,0.03676470588235294
2026-03-29,no_atribuible,picking_movs_no_atribuibles,0.0,1.0,100.0,0.15,0.25,8.0,0.85,0.25,0.2615,0.03676470588235294,0.03845588235294118
2026-03-29,picking_out,picking_movs_esperados,0.0,0.0,120.0,0.15,0.5,8.0,0.85,0.5,0.5,0.07352941176470588,0.07352941176470588
2026-03-30,inbound_recepcion,inbound_recepcion_cr_esperados,32.62869828301266,127.48981177264983,22.0,0.12,0.25,8.0,0.85,1.91109736713519,6.7403904175167195,0.28104373046105735,0.9912338849289294
2026-03-30,inbound_ubicacion,inbound_ubicacion_ep_esperados,20.679617794279864,89.26685371931993,28.0,0.12,0.25,8.0,0.85,1.0771847117711946,3.8206741487727975,0.15840951643694037,0.5618638454077644
2026-03-30,no_atribuible,picking_movs_no_atribuibles,1.0,11.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.3765,0.03845588235294118,0.05536764705882353
2026-03-30,picking_out,picking_movs_esperados,13.0,44.0,120.0,0.15,0.5,8.0,0.85,0.6245833333333333,0.9216666666666666,0.09185049019607842,0.1355392156862745
2026-03-31,inbound_recepcion,inbound_recepcion_cr_esperados,9.387199808123295,30.11584207643676,22.0,0.12,0.25,8.0,0.85,0.7278938084135496,1.7831701420731443,0.10704320711963965,0.26223090324605064
2026-03-31,inbound_ubicacion,inbound_ubicacion_ep_esperados,5.788716347087196,28.464972629912836,28.0,0.12,0.25,8.0,0.85,0.4815486538834879,1.3885989051965135,0.07081597851227764,0.20420572135242845
2026-03-31,no_atribuible,picking_movs_no_atribuibles,1.0,11.0,100.0,0.15,0.25,8.0,0.85,0.2615,0.3765,0.03845588235294118,0.05536764705882353
2026-03-31,picking_out,picking_movs_esperados,23.0,76.0,120.0,0.15,0.5,8.0,0.85,0.7204166666666667,1.2283333333333333,0.1059436274509804,0.18063725490196078
