owner_scope,period_type,period_label,n_skus_AX,pct_pick_lines_AX,n_skus_AY,pct_pick_lines_AY,n_skus_AZ,pct_pick_lines_AZ,n_skus_BX,pct_pick_lines_BX,n_skus_BY,pct_pick_lines_BY,n_skus_BZ,pct_pick_lines_BZ,n_skus_CX,pct_pick_lines_CX,n_skus_CY,pct_pick_lines_CY,n_skus_CZ,pct_pick_lines_CZ,n_skus_ALOW_HISTORY,pct_pick_lines_ALOW_HISTORY,n_skus_BLOW_HISTORY,pct_pick_lines_BLOW_HISTORY,n_skus_CLOW_HISTORY,pct_pick_lines_CLOW_HISTORY
23,quarterly,2022-Q4,0,0.0,2,0.04540420819490587,35,0.717607973421927,0,0.0,0,0.0,15,0.04983388704318937,0,0.0,0,0.0,0,0.0,5,0.04097452934662237,51,0.09634551495016612,45,0.04983388704318937
23,quarterly,2023-Q1,0,0.0,1,0.02333931777378815,32,0.6606822262118492,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,0.118491921005386,58,0.1490125673249551,27,0.04847396768402154
23,quarterly,2023-Q2,0,0.0,8,0.22375215146299485,63,0.48881239242685026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.08864027538726334,124,0.14888123924268504,58,0.04991394148020654
23,quarterly,2023-Q3,0,0.0,0,0.0,34,0.5645161290322581,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39,0.23835125448028674,76,0.14874551971326164,27,0.04838709677419355
23,quarterly,2023-Q4,0,0.0,6,0.22315202231520223,55,0.4811715481171548,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.09623430962343096,72,0.1506276150627615,35,0.04881450488145049
23,quarterly,2024-Q1,0,0.0,5,0.18161683277962348,24,0.2956810631229236,0,0.0,0,0.0,8,0.029900332225913623,0,0.0,0,0.0,0,0.0,7,0.32558139534883723,71,0.11738648947951273,45,0.04983388704318937
23,quarterly,2024-Q2,0,0.0,14,0.27111111111111114,53,0.47185185185185186,0,0.0,0,0.0,11,0.024444444444444446,0,0.0,0,0.0,0,0.0,15,0.05851851851851852,108,0.12444444444444444,67,0.04962962962962963
23,quarterly,2024-Q3,0,0.0,1,0.01744186046511628,55,0.4662790697674419,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,156,0.31627906976744186,129,0.15,43,0.05
23,quarterly,2024-Q4,0,0.0,3,0.09333333333333334,43,0.6016666666666667,0,0.0,0,0.0,2,0.01,0,0.0,0,0.0,0,0.0,13,0.10666666666666667,54,0.13833333333333334,30,0.05
23,quarterly,2026-Q1,0,0.0,2,0.16774193548387098,15,0.38387096774193546,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15,0.24838709677419354,47,0.15161290322580645,15,0.04838709677419355
