axis,freq,target,model,fold_id,fold_start,fold_end,wape,smape,mase,wape_peak5,smape_peak5,mase_peak5,coverage_empirical
service,daily,conteo_servicios,naive_t7,1,2024-11-15,2024-12-12,0.798728813559322,0.6689276607867793,0.7349002558159087,0.6440677966101694,0.9393380091054508,2.617310548564527,
service,daily,conteo_servicios,ma7,1,2024-11-15,2024-12-12,0.5744552058111381,0.5506688818559986,0.5285489524587325,0.576271186440678,0.8063155470892381,2.341804175031419,
service,daily,conteo_servicios,ma28,1,2024-11-15,2024-12-12,0.5865617433414043,0.5765437728570799,0.5396880241649227,0.637409200968523,0.9183337190361588,2.59025188687824,
service,daily,conteo_servicios,model_p50,1,2024-11-15,2024-12-12,0.14439064720801345,0.22672380095559594,0.13285200404594227,0.12581437705277618,0.12661794607140492,0.5112742757120274,
service,daily,conteo_servicios,model_p80,1,2024-11-15,2024-12-12,0.16138896890618992,0.28474389017558255,0.14849194435154286,0.12486660162469723,0.11904128926576389,0.5074227826880987,
service,daily,m3_out,naive_t7,1,2024-11-15,2024-12-12,0.9126871091576197,0.5307506691380448,0.5092800996996694,0.6358183376178235,0.920685867019449,2.0697727668129877,
service,daily,m3_out,ma7,1,2024-11-15,2024-12-12,0.6263920759633872,0.63421533762048,0.34952725386047306,0.6002162647406863,0.8406243136007127,1.9538777123241973,
service,daily,m3_out,ma28,1,2024-11-15,2024-12-12,0.6134330530204933,0.7114394639166095,0.34229610922158504,0.617002285061411,0.8603616320833986,2.0085210682443417,
service,daily,m3_out,model_p50,1,2024-11-15,2024-12-12,0.08439434753382638,0.14650074621605483,0.04709210998475163,0.01664811629903074,0.014396527887862451,0.05419443840448195,
service,daily,m3_out,model_p80,1,2024-11-15,2024-12-12,0.1821991685037835,1.1610409637518468,0.1016672743262981,0.12651787755887714,0.12662474843723842,0.4118523200627538,
service,daily,cajas_out,naive_t7,1,2024-11-15,2024-12-12,0.9360544217687075,0.5572828631049339,0.556157255563469,0.6985645933014354,1.0778733033317716,2.085050796293664,
service,daily,cajas_out,ma7,1,2024-11-15,2024-12-12,0.5965014577259474,0.3785992642063647,0.35441167303245147,0.5526315789473684,0.767587065070071,1.6494751162460148,
service,daily,cajas_out,ma28,1,2024-11-15,2024-12-12,0.8014091350826046,1.0319376143691852,0.47615768355524785,0.5544258373205742,0.7595990399980216,1.6548305549351254,
service,daily,cajas_out,model_p50,1,2024-11-15,2024-12-12,0.25045788023508553,1.1773892419972247,0.14880968890952767,0.2572793435334751,0.21743998677878104,0.7679182501494255,
service,daily,cajas_out,model_p80,1,2024-11-15,2024-12-12,0.5263979016498915,1.2790262085503576,0.3127596061805811,0.44885916545552074,0.327830282069759,1.3397389007846527,
service,daily,pales_out,naive_t7,1,2024-11-15,2024-12-12,0.96,0.594185498848001,0.5425244988660095,0.6142131979695431,1.0667279261618883,1.666288127982624,
service,daily,pales_out,ma7,1,2024-11-15,2024-12-12,0.6082758620689656,0.6639256513020679,0.34375474712630766,0.4590282813633067,0.5794248827093401,1.2452897107591507,
service,daily,pales_out,ma28,1,2024-11-15,2024-12-12,0.6368472906403941,1.2750768966180244,0.359901309592558,0.49854967367657727,0.6449421911405324,1.3525065973884935,
service,daily,pales_out,model_p50,1,2024-11-15,2024-12-12,0.20035259274550943,1.116540462658412,0.11322519789141997,0.2939262855491959,0.24624105923532635,0.7973874246462247,
service,daily,pales_out,model_p80,1,2024-11-15,2024-12-12,0.31390214377299597,1.1445111362648843,0.17739542004521947,0.4088204854703056,0.29646959415267937,1.1090818687504693,
service,daily,peso_facturable_out,naive_t7,1,2024-11-15,2024-12-12,0.9008889697937317,0.4149344853054838,0.41073562165699634,0.5799055395719347,0.8527100811587861,1.3401823443205307,
service,daily,peso_facturable_out,ma7,1,2024-11-15,2024-12-12,0.5491571049537315,0.3049139564209614,0.25037312305219067,0.5729029713696525,0.784141362054219,1.3239991599410086,
service,daily,peso_facturable_out,ma28,1,2024-11-15,2024-12-12,0.6066880656264456,0.31378758424517045,0.27660278696054313,0.440014420895331,0.5435556405254075,1.0168889894820463,
