segment,antecedent,consequent,antecedent_size,consequent_size,support_itemset,confidence,lift,count_itemset,n_transactions
ALL,018091|018093,018092,2,1,0.005532503457814661,0.9166666666666667,86.7886904761905,44,7953
ALL,018092,018091|018093,1,2,0.005532503457814661,0.5238095238095238,86.78869047619048,44,7953
ALL,018093|018095,018092,2,1,0.005029548598013328,0.9090909090909091,86.07142857142857,40,7953
ALL,018092,018093|018095,1,2,0.005029548598013328,0.4761904761904762,86.07142857142857,40,7953
ALL,018091|018092,018093,2,1,0.005532503457814661,0.7457627118644068,85.9572586588062,44,7953
ALL,018093,018091|018092,1,2,0.005532503457814661,0.6376811594202899,85.9572586588062,44,7953
ALL,018091|018095,018092,2,1,0.0061611970325663274,0.9074074074074074,85.91203703703705,49,7953
ALL,018092,018091|018095,1,2,0.0061611970325663274,0.5833333333333334,85.91203703703704,49,7953
ALL,018092|018095,018091,2,1,0.0061611970325663274,0.8166666666666668,85.45986842105265,49,7953
ALL,018091,018092|018095,1,2,0.0061611970325663274,0.6447368421052632,85.45986842105263,49,7953
ALL,018092|018094,018091,2,1,0.005406764742864328,0.8113207547169812,84.90044687189673,43,7953
ALL,018091,018092|018094,1,2,0.005406764742864328,0.5657894736842105,84.90044687189672,43,7953
ALL,018095,018092|018093,1,2,0.005029548598013328,0.5063291139240507,83.89240506329115,40,7953
ALL,018092|018093,018095,2,1,0.005029548598013328,0.8333333333333333,83.89240506329114,40,7953
