pedido_id,n_propietarios_distintos,n_lineas_pi_totales,n_skus_distintos_totales,proxy_recorridos,penalty_ratio,is_multi_propietario
SGE202206432,2,3,3,2,2.0,1
SGE202206474,2,3,2,2,2.0,1
SGE202206554,2,3,3,2,2.0,1
SGE202206861,2,3,3,2,2.0,1
SGE202207255,2,3,2,2,2.0,1
SGE202207416,2,3,3,2,2.0,1
SGE202207453,2,3,2,2,2.0,1
SGE202207455,2,3,3,2,2.0,1
SGE202207493,2,3,2,2,2.0,1
SGE202207516,2,3,3,2,2.0,1
SGE202207529,2,3,2,2,2.0,1
SGE202207588,2,3,3,2,2.0,1
SGE202207784,2,3,3,2,2.0,1
SGE202207879,2,3,3,2,2.0,1
SGE202208018,2,3,3,2,2.0,1
SGE202208022,2,3,3,2,2.0,1
SGE202208240,2,3,2,2,2.0,1
SGE202208563,2,3,3,2,2.0,1
SGE202208721,2,3,3,2,2.0,1
SGE202208726,2,3,3,2,2.0,1
SGE202209089,2,3,3,2,2.0,1
SGE202209191,2,3,3,2,2.0,1
SGE202209193,2,3,2,2,2.0,1
SGE202209281,2,3,3,2,2.0,1
SGE202209383,2,3,3,2,2.0,1
SGE202209632,2,3,2,2,2.0,1
SGE202209870,2,3,3,2,2.0,1
SGE202210096,2,3,2,2,2.0,1
SGE202210172,2,3,3,2,2.0,1
SGE202210178,2,3,2,2,2.0,1
SGE202210273,2,3,3,2,2.0,1
SGE202210337,2,3,3,2,2.0,1
SGE202210365,2,3,3,2,2.0,1
SGE202210396,2,3,3,2,2.0,1
SGE202210485,2,3,2,2,2.0,1
SGE202210605,2,3,3,2,2.0,1
SGE202210763,2,3,3,2,2.0,1
SGE202311250,2,3,2,2,2.0,1
SGE202311289,2,3,3,2,2.0,1
SGE202311346,2,3,3,2,2.0,1
SGE202311477,2,3,3,2,2.0,1
SGE202311492,2,3,3,2,2.0,1
SGE202311495,2,3,3,2,2.0,1
SGE202311713,2,3,3,2,2.0,1
SGE202311920,2,3,3,2,2.0,1
SGE202312015,2,3,3,2,2.0,1
SGE202312110,2,3,3,2,2.0,1
SGE202312241,2,3,2,2,2.0,1
SGE202312246,2,3,2,2,2.0,1
SGE202312281,2,3,2,2,2.0,1
SGE202312476,2,3,3,2,2.0,1
SGE202312694,2,3,2,2,2.0,1
SGE202312709,2,3,3,2,2.0,1
SGE202312740,2,3,3,2,2.0,1
SGE202312745,2,3,3,2,2.0,1
SGE202313080,2,3,3,2,2.0,1
SGE202313181,2,3,2,2,2.0,1
SGE202313332,2,3,2,2,2.0,1
SGE202313641,2,3,3,2,2.0,1
SGE202313742,2,3,3,2,2.0,1
SGE202313850,2,3,3,2,2.0,1
SGE202314161,2,3,3,2,2.0,1
SGE202314411,2,3,2,2,2.0,1
SGE202314413,2,3,2,2,2.0,1
SGE202314501,2,3,3,2,2.0,1
SGE202314843,2,3,3,2,2.0,1
SGE202314887,2,3,3,2,2.0,1
SGE202314970,2,3,3,2,2.0,1
SGE202315027,2,3,3,2,2.0,1
SGE202315387,2,3,2,2,2.0,1
SGE202315441,2,3,3,2,2.0,1
SGE202315544,2,3,2,2,2.0,1
SGE202315675,2,3,2,2,2.0,1
SGE202315943,2,3,3,2,2.0,1
SGE202315949,2,3,3,2,2.0,1
SGE202315982,2,3,3,2,2.0,1
SGE202316052,2,3,3,2,2.0,1
SGE202316125,2,3,3,2,2.0,1
SGE202316181,2,3,3,2,2.0,1
SGE202316512,2,3,2,2,2.0,1
SGE202316957,2,3,3,2,2.0,1
SGE202316959,2,3,3,2,2.0,1
SGE202416888,2,3,3,2,2.0,1
SGE202417161,2,3,3,2,2.0,1
SGE202417466,2,3,3,2,2.0,1
SGE202417768,2,3,2,2,2.0,1
SGE202417885,2,3,2,2,2.0,1
SGE202418255,2,3,3,2,2.0,1
SGE202418675,2,3,3,2,2.0,1
SGE202418857,2,3,3,2,2.0,1
SGE202418934,2,3,3,2,2.0,1
SGE202419258,2,3,3,2,2.0,1
SGE202419472,2,3,2,2,2.0,1
SGE202419490,2,3,3,2,2.0,1
SGE202419541,2,3,3,2,2.0,1
SGE202420011,2,3,3,2,2.0,1
SGE202420080,2,3,2,2,2.0,1
SGE202420087,2,3,2,2,2.0,1
SGE202421044,2,3,2,2,2.0,1
SGE202421160,2,3,3,2,2.0,1
SGE202421239,2,3,3,2,2.0,1
SGE202421314,2,3,3,2,2.0,1
SGE202421635,2,3,3,2,2.0,1
SGE202421658,2,3,3,2,2.0,1
SGE202422014,2,3,3,2,2.0,1
SGE202422029,2,3,3,2,2.0,1
SGE202422032,2,3,2,2,2.0,1
SGE202422116,2,3,2,2,2.0,1
SGE202422140,2,3,3,2,2.0,1
SGE202422228,2,3,3,2,2.0,1
SGE202422247,2,3,2,2,2.0,1
SGE202422388,2,3,2,2,2.0,1
SGE202422421,2,3,3,2,2.0,1
SGE202422423,2,3,3,2,2.0,1
SGE202422444,2,3,3,2,2.0,1
SGE202422539,2,3,2,2,2.0,1
SGE202422664,2,3,2,2,2.0,1
SGE202422941,2,3,3,2,2.0,1
SGE202423426,2,3,3,2,2.0,1
SGE202423480,2,3,3,2,2.0,1
SGE202423749,2,3,3,2,2.0,1
SGE202624542,2,3,3,2,2.0,1
SGE202624554,2,3,2,2,2.0,1
SGE202624587,2,3,2,2,2.0,1
SGE202624672,2,3,3,2,2.0,1
SGE202624689,2,3,3,2,2.0,1
SGP202206053,2,3,3,2,2.0,1
SGP202206248,2,3,3,2,2.0,1
SGP202206830,2,3,3,2,2.0,1
SGP202206928,2,3,3,2,2.0,1
SGP202206955,2,3,3,2,2.0,1
SGP202206959,2,3,3,2,2.0,1
SGP202207212,2,3,3,2,2.0,1
SGP202207346,2,3,3,2,2.0,1
SGP202207365,2,3,3,2,2.0,1
SGP202207366,2,3,3,2,2.0,1
SGP202207521,2,3,3,2,2.0,1
SGP202207789,2,3,3,2,2.0,1
SGP202207938,2,3,3,2,2.0,1
SGP202208112,2,3,2,2,2.0,1
SGP202208467,2,3,3,2,2.0,1
SGP202208681,2,3,3,2,2.0,1
SGP202208932,2,3,3,2,2.0,1
SGP202209146,2,3,2,2,2.0,1
SGP202209187,2,3,3,2,2.0,1
SGP202209610,2,3,3,2,2.0,1
SGP202209611,2,3,3,2,2.0,1
SGP202209612,2,3,3,2,2.0,1
SGP202209613,2,3,3,2,2.0,1
SGP202209751,2,3,3,2,2.0,1
SGP202209795,2,3,3,2,2.0,1
SGP202209889,2,3,3,2,2.0,1
SGP202210097,2,3,3,2,2.0,1
SGP202210141,2,3,2,2,2.0,1
SGP202210148,2,3,3,2,2.0,1
SGP202210219,2,3,3,2,2.0,1
SGP202210302,2,3,2,2,2.0,1
SGP202210413,2,3,3,2,2.0,1
SGP202210415,2,3,3,2,2.0,1
SGP202210437,2,3,3,2,2.0,1
SGP202210688,2,3,3,2,2.0,1
SGP202311130,2,3,2,2,2.0,1
SGP202311344,2,3,1,2,2.0,1
SGP202311349,2,3,2,2,2.0,1
SGP202311449,2,3,3,2,2.0,1
SGP202311512,2,3,3,2,2.0,1
SGP202311547,2,3,3,2,2.0,1
SGP202311698,2,3,3,2,2.0,1
SGP202311700,2,3,3,2,2.0,1
SGP202311702,2,3,3,2,2.0,1
SGP202311789,2,3,3,2,2.0,1
SGP202311791,2,3,3,2,2.0,1
SGP202311878,2,3,3,2,2.0,1
SGP202311884,2,3,3,2,2.0,1
SGP202311921,2,3,3,2,2.0,1
SGP202312020,2,3,3,2,2.0,1
SGP202312265,2,3,3,2,2.0,1
SGP202312277,2,3,3,2,2.0,1
SGP202312354,2,3,1,2,2.0,1
SGP202312370,2,3,3,2,2.0,1
SGP202312477,2,3,3,2,2.0,1
SGP202312531,2,3,2,2,2.0,1
SGP202312785,2,3,3,2,2.0,1
SGP202313265,2,3,2,2,2.0,1
SGP202313266,2,3,2,2,2.0,1
SGP202313497,2,3,3,2,2.0,1
SGP202313992,2,3,2,2,2.0,1
SGP202314168,2,3,2,2,2.0,1
SGP202314406,2,3,3,2,2.0,1
SGP202314492,2,3,2,2,2.0,1
SGP202314530,2,3,3,2,2.0,1
SGP202314607,2,3,3,2,2.0,1
SGP202314753,2,3,3,2,2.0,1
SGP202314942,2,3,3,2,2.0,1
SGP202315291,2,3,2,2,2.0,1
SGP202315294,2,3,2,2,2.0,1
SGP202315315,2,3,2,2,2.0,1
SGP202315459,2,3,2,2,2.0,1
SGP202315743,2,3,3,2,2.0,1
SGP202315839,2,3,3,2,2.0,1
SGP202316030,2,3,2,2,2.0,1
SGP202316111,2,3,3,2,2.0,1
SGP202316742,2,3,3,2,2.0,1
SGP202316850,2,3,3,2,2.0,1
SGP202316909,2,3,3,2,2.0,1
SGP202417229,2,3,3,2,2.0,1
SGP202417259,2,3,3,2,2.0,1
SGP202417329,2,3,2,2,2.0,1
SGP202417379,2,3,3,2,2.0,1
SGP202417416,2,3,2,2,2.0,1
SGP202417657,2,3,3,2,2.0,1
SGP202417987,2,3,3,2,2.0,1
SGP202418111,2,3,3,2,2.0,1
SGP202418192,2,3,3,2,2.0,1
SGP202418193,2,3,3,2,2.0,1
SGP202418194,2,3,3,2,2.0,1
SGP202418195,2,3,3,2,2.0,1
SGP202418196,2,3,3,2,2.0,1
SGP202418197,2,3,3,2,2.0,1
SGP202418198,2,3,3,2,2.0,1
SGP202418199,2,3,3,2,2.0,1
SGP202418200,2,3,3,2,2.0,1
SGP202418201,2,3,3,2,2.0,1
SGP202418202,2,3,3,2,2.0,1
SGP202418203,2,3,3,2,2.0,1
SGP202418204,2,3,3,2,2.0,1
SGP202418206,2,3,3,2,2.0,1
SGP202418624,2,3,3,2,2.0,1
SGP202418646,2,3,2,2,2.0,1
SGP202418651,2,3,3,2,2.0,1
SGP202418658,2,3,3,2,2.0,1
SGP202418881,2,3,3,2,2.0,1
SGP202418919,2,3,3,2,2.0,1
SGP202418920,2,3,3,2,2.0,1
SGP202418921,2,3,3,2,2.0,1
SGP202419125,2,3,3,2,2.0,1
SGP202419168,2,3,2,2,2.0,1
SGP202419211,2,3,2,2,2.0,1
SGP202419260,2,3,3,2,2.0,1
SGP202419278,2,3,3,2,2.0,1
SGP202419422,2,3,3,2,2.0,1
SGP202419431,2,3,3,2,2.0,1
SGP202419460,2,3,1,2,2.0,1
SGP202419540,2,3,3,2,2.0,1
SGP202419601,2,3,3,2,2.0,1
SGP202419898,2,3,3,2,2.0,1
SGP202419900,2,3,3,2,2.0,1
SGP202419933,2,3,3,2,2.0,1
SGP202419997,2,3,3,2,2.0,1
SGP202419998,2,3,2,2,2.0,1
SGP202420405,2,3,3,2,2.0,1
SGP202420608,2,3,3,2,2.0,1
SGP202420733,2,3,3,2,2.0,1
SGP202420857,2,3,3,2,2.0,1
SGP202420866,2,3,3,2,2.0,1
SGP202420999,2,3,3,2,2.0,1
SGP202421029,2,3,1,2,2.0,1
SGP202421297,2,3,3,2,2.0,1
SGP202421420,2,3,2,2,2.0,1
SGP202421494,2,3,3,2,2.0,1
SGP202421589,2,3,3,2,2.0,1
SGP202421600,2,3,3,2,2.0,1
SGP202421650,2,3,3,2,2.0,1
SGP202422156,2,3,3,2,2.0,1
SGP202422161,2,3,3,2,2.0,1
SGP202422262,2,3,3,2,2.0,1
SGP202422295,2,3,3,2,2.0,1
SGP202422298,2,3,2,2,2.0,1
SGP202422362,2,3,3,2,2.0,1
SGP202423246,2,3,2,2,2.0,1
SGP202423428,2,3,2,2,2.0,1
SGP202423604,2,3,3,2,2.0,1
SGP202423609,2,3,3,2,2.0,1
SGP202423709,2,3,3,2,2.0,1
SGP202423753,2,3,2,2,2.0,1
SGP202624674,2,3,1,2,2.0,1
SGP202624962,2,3,2,2,2.0,1
SGE202206095,2,2,2,2,2.0,1
SGE202206382,2,2,2,2,2.0,1
SGE202206568,2,2,2,2,2.0,1
SGE202206586,2,2,2,2,2.0,1
SGE202206891,2,2,2,2,2.0,1
SGE202206910,2,2,2,2,2.0,1
SGE202207154,2,2,2,2,2.0,1
SGE202207190,2,2,2,2,2.0,1
SGE202207214,2,2,2,2,2.0,1
SGE202207245,2,2,2,2,2.0,1
SGE202207536,2,2,2,2,2.0,1
SGE202207597,2,2,2,2,2.0,1
SGE202207641,2,2,2,2,2.0,1
SGE202207642,2,2,2,2,2.0,1
SGE202207672,2,2,2,2,2.0,1
SGE202207684,2,2,2,2,2.0,1
SGE202207696,2,2,1,2,2.0,1
SGE202207702,2,2,2,2,2.0,1
SGE202207761,2,2,2,2,2.0,1
SGE202207781,2,2,1,2,2.0,1
SGE202207872,2,2,2,2,2.0,1
SGE202208043,2,2,2,2,2.0,1
SGE202208105,2,2,2,2,2.0,1
SGE202208346,2,2,1,2,2.0,1
SGE202208950,2,2,2,2,2.0,1
SGE202209091,2,2,2,2,2.0,1
SGE202209186,2,2,2,2,2.0,1
SGE202209257,2,2,2,2,2.0,1
SGE202209273,2,2,2,2,2.0,1
SGE202209501,2,2,2,2,2.0,1
SGE202210082,2,2,2,2,2.0,1
SGE202210203,2,2,2,2,2.0,1
SGE202210270,2,2,2,2,2.0,1
SGE202210271,2,2,2,2,2.0,1
SGE202210360,2,2,2,2,2.0,1
SGE202210384,2,2,1,2,2.0,1
SGE202210431,2,2,2,2,2.0,1
SGE202210629,2,2,2,2,2.0,1
SGE202311105,2,2,2,2,2.0,1
SGE202311134,2,2,2,2,2.0,1
SGE202311251,2,2,2,2,2.0,1
SGE202311276,2,2,2,2,2.0,1
SGE202311308,2,2,2,2,2.0,1
SGE202311309,2,2,1,2,2.0,1
SGE202311457,2,2,2,2,2.0,1
SGE202311468,2,2,2,2,2.0,1
SGE202311551,2,2,2,2,2.0,1
SGE202311584,2,2,2,2,2.0,1
SGE202311672,2,2,2,2,2.0,1
SGE202311801,2,2,2,2,2.0,1
SGE202311925,2,2,1,2,2.0,1
SGE202311932,2,2,2,2,2.0,1
SGE202311956,2,2,2,2,2.0,1
SGE202312029,2,2,2,2,2.0,1
SGE202312047,2,2,2,2,2.0,1
SGE202312229,2,2,2,2,2.0,1
SGE202312247,2,2,2,2,2.0,1
SGE202312581,2,2,2,2,2.0,1
SGE202312631,2,2,2,2,2.0,1
SGE202312743,2,2,2,2,2.0,1
SGE202312748,2,2,2,2,2.0,1
SGE202312788,2,2,2,2,2.0,1
SGE202312901,2,2,2,2,2.0,1
SGE202312908,2,2,2,2,2.0,1
SGE202312912,2,2,2,2,2.0,1
SGE202313296,2,2,2,2,2.0,1
SGE202313301,2,2,2,2,2.0,1
SGE202313325,2,2,2,2,2.0,1
SGE202313711,2,2,2,2,2.0,1
SGE202313942,2,2,2,2,2.0,1
SGE202313986,2,2,2,2,2.0,1
SGE202314479,2,2,2,2,2.0,1
SGE202314851,2,2,2,2,2.0,1
SGE202314982,2,2,2,2,2.0,1
SGE202315077,2,2,1,2,2.0,1
SGE202315094,2,2,2,2,2.0,1
SGE202315137,2,2,2,2,2.0,1
SGE202315212,2,2,2,2,2.0,1
SGE202315216,2,2,2,2,2.0,1
SGE202315358,2,2,2,2,2.0,1
SGE202315389,2,2,2,2,2.0,1
SGE202315411,2,2,2,2,2.0,1
SGE202315413,2,2,2,2,2.0,1
SGE202315465,2,2,2,2,2.0,1
SGE202315763,2,2,2,2,2.0,1
SGE202315861,2,2,2,2,2.0,1
SGE202315953,2,2,2,2,2.0,1
SGE202316068,2,2,2,2,2.0,1
SGE202316161,2,2,2,2,2.0,1
SGE202316478,2,2,2,2,2.0,1
SGE202316482,2,2,2,2,2.0,1
SGE202316552,2,2,2,2,2.0,1
SGE202316963,2,2,1,2,2.0,1
SGE202316989,2,2,2,2,2.0,1
SGE202417162,2,2,2,2,2.0,1
SGE202417164,2,2,2,2,2.0,1
SGE202417295,2,2,2,2,2.0,1
SGE202417350,2,2,2,2,2.0,1
SGE202417370,2,2,2,2,2.0,1
SGE202417476,2,2,2,2,2.0,1
SGE202417559,2,2,2,2,2.0,1
SGE202417629,2,2,2,2,2.0,1
SGE202417631,2,2,2,2,2.0,1
SGE202417634,2,2,2,2,2.0,1
SGE202417637,2,2,1,2,2.0,1
SGE202417646,2,2,1,2,2.0,1
SGE202417658,2,2,2,2,2.0,1
SGE202417765,2,2,2,2,2.0,1
SGE202418187,2,2,2,2,2.0,1
SGE202418209,2,2,2,2,2.0,1
SGE202418213,2,2,2,2,2.0,1
SGE202418216,2,2,2,2,2.0,1
SGE202418542,2,2,2,2,2.0,1
SGE202419070,2,2,2,2,2.0,1
SGE202419074,2,2,2,2,2.0,1
SGE202419124,2,2,2,2,2.0,1
SGE202419134,2,2,2,2,2.0,1
SGE202419157,2,2,2,2,2.0,1
SGE202419272,2,2,2,2,2.0,1
SGE202419349,2,2,2,2,2.0,1
SGE202419501,2,2,2,2,2.0,1
SGE202419550,2,2,1,2,2.0,1
SGE202419582,2,2,2,2,2.0,1
SGE202419594,2,2,2,2,2.0,1
SGE202419605,2,2,2,2,2.0,1
SGE202419854,2,2,2,2,2.0,1
SGE202419896,2,2,2,2,2.0,1
SGE202419935,2,2,2,2,2.0,1
SGE202420016,2,2,2,2,2.0,1
SGE202420127,2,2,2,2,2.0,1
SGE202420178,2,2,2,2,2.0,1
SGE202420200,2,2,2,2,2.0,1
SGE202420270,2,2,2,2,2.0,1
SGE202420298,2,2,2,2,2.0,1
SGE202420321,2,2,2,2,2.0,1
SGE202420336,2,2,2,2,2.0,1
SGE202420345,2,2,2,2,2.0,1
SGE202420451,2,2,2,2,2.0,1
SGE202420622,2,2,2,2,2.0,1
SGE202420651,2,2,2,2,2.0,1
SGE202420940,2,2,2,2,2.0,1
SGE202420977,2,2,2,2,2.0,1
SGE202421092,2,2,2,2,2.0,1
SGE202421213,2,2,2,2,2.0,1
SGE202421387,2,2,2,2,2.0,1
SGE202421419,2,2,2,2,2.0,1
SGE202421981,2,2,2,2,2.0,1
SGE202422069,2,2,2,2,2.0,1
SGE202422078,2,2,2,2,2.0,1
SGE202422152,2,2,2,2,2.0,1
SGE202422222,2,2,2,2,2.0,1
SGE202422309,2,2,2,2,2.0,1
SGE202422339,2,2,2,2,2.0,1
SGE202422381,2,2,2,2,2.0,1
SGE202422413,2,2,2,2,2.0,1
SGE202422482,2,2,2,2,2.0,1
SGE202422625,2,2,2,2,2.0,1
SGE202422971,2,2,2,2,2.0,1
SGE202423044,2,2,2,2,2.0,1
SGE202423304,2,2,1,2,2.0,1
SGE202423784,2,2,2,2,2.0,1
SGE202624592,2,2,2,2,2.0,1
SGE202624596,2,2,2,2,2.0,1
SGP202206046,2,2,2,2,2.0,1
SGP202206309,2,2,2,2,2.0,1
SGP202206407,2,2,2,2,2.0,1
SGP202206527,2,2,2,2,2.0,1
SGP202206531,2,2,2,2,2.0,1
SGP202206578,2,2,2,2,2.0,1
SGP202206758,2,2,2,2,2.0,1
SGP202206794,2,2,2,2,2.0,1
SGP202207032,2,2,2,2,2.0,1
SGP202207033,2,2,2,2,2.0,1
SGP202207034,2,2,2,2,2.0,1
SGP202207035,2,2,2,2,2.0,1
SGP202207036,2,2,2,2,2.0,1
SGP202207037,2,2,2,2,2.0,1
SGP202207038,2,2,2,2,2.0,1
SGP202207039,2,2,2,2,2.0,1
SGP202207061,2,2,2,2,2.0,1
SGP202207062,2,2,2,2,2.0,1
SGP202207063,2,2,2,2,2.0,1
SGP202207338,2,2,2,2,2.0,1
SGP202207490,2,2,2,2,2.0,1
SGP202207678,2,2,2,2,2.0,1
SGP202207776,2,2,2,2,2.0,1
SGP202207915,2,2,2,2,2.0,1
SGP202207970,2,2,2,2,2.0,1
SGP202208067,2,2,2,2,2.0,1
SGP202208423,2,2,2,2,2.0,1
SGP202208600,2,2,2,2,2.0,1
SGP202208601,2,2,2,2,2.0,1
SGP202208602,2,2,2,2,2.0,1
SGP202208605,2,2,2,2,2.0,1
SGP202208606,2,2,2,2,2.0,1
SGP202208607,2,2,2,2,2.0,1
SGP202208608,2,2,2,2,2.0,1
SGP202208609,2,2,2,2,2.0,1
SGP202208670,2,2,2,2,2.0,1
SGP202208815,2,2,2,2,2.0,1
SGP202208816,2,2,2,2,2.0,1
SGP202208818,2,2,2,2,2.0,1
SGP202208820,2,2,2,2,2.0,1
SGP202208821,2,2,2,2,2.0,1
SGP202208823,2,2,2,2,2.0,1
SGP202208825,2,2,2,2,2.0,1
SGP202208827,2,2,2,2,2.0,1
SGP202208828,2,2,2,2,2.0,1
SGP202208831,2,2,2,2,2.0,1
SGP202208832,2,2,2,2,2.0,1
SGP202208833,2,2,2,2,2.0,1
SGP202208834,2,2,2,2,2.0,1
SGP202208835,2,2,2,2,2.0,1
SGP202208836,2,2,2,2,2.0,1
SGP202209168,2,2,2,2,2.0,1
SGP202209288,2,2,2,2,2.0,1
SGP202209290,2,2,2,2,2.0,1
SGP202209306,2,2,2,2,2.0,1
SGP202209322,2,2,2,2,2.0,1
SGP202209398,2,2,2,2,2.0,1
SGP202209476,2,2,2,2,2.0,1
SGP202209507,2,2,1,2,2.0,1
SGP202209535,2,2,2,2,2.0,1
SGP202209539,2,2,2,2,2.0,1
SGP202209926,2,2,2,2,2.0,1
SGP202210137,2,2,2,2,2.0,1
SGP202210226,2,2,1,2,2.0,1
SGP202210447,2,2,1,2,2.0,1
SGP202210476,2,2,2,2,2.0,1
SGP202210625,2,2,2,2,2.0,1
SGP202211014,2,2,2,2,2.0,1
SGP202311262,2,2,2,2,2.0,1
SGP202311266,2,2,2,2,2.0,1
SGP202311268,2,2,2,2,2.0,1
SGP202311443,2,2,2,2,2.0,1
SGP202311446,2,2,2,2,2.0,1
SGP202311676,2,2,2,2,2.0,1
SGP202311677,2,2,2,2,2.0,1
SGP202311764,2,2,2,2,2.0,1
SGP202311841,2,2,2,2,2.0,1
SGP202311877,2,2,2,2,2.0,1
SGP202311999,2,2,2,2,2.0,1
SGP202312062,2,2,2,2,2.0,1
SGP202312063,2,2,2,2,2.0,1
SGP202312360,2,2,2,2,2.0,1
SGP202312378,2,2,2,2,2.0,1
SGP202312392,2,2,2,2,2.0,1
SGP202312761,2,2,1,2,2.0,1
SGP202312990,2,2,2,2,2.0,1
SGP202313221,2,2,2,2,2.0,1
SGP202313288,2,2,2,2,2.0,1
SGP202313440,2,2,2,2,2.0,1
SGP202313687,2,2,2,2,2.0,1
SGP202314260,2,2,2,2,2.0,1
SGP202314352,2,2,2,2,2.0,1
SGP202314417,2,2,2,2,2.0,1
SGP202314445,2,2,2,2,2.0,1
SGP202314450,2,2,2,2,2.0,1
SGP202314493,2,2,2,2,2.0,1
SGP202314850,2,2,2,2,2.0,1
SGP202314898,2,2,2,2,2.0,1
SGP202314995,2,2,2,2,2.0,1
SGP202315012,2,2,2,2,2.0,1
SGP202315029,2,2,2,2,2.0,1
SGP202315073,2,2,2,2,2.0,1
SGP202315115,2,2,2,2,2.0,1
SGP202315641,2,2,2,2,2.0,1
SGP202315762,2,2,2,2,2.0,1
SGP202315909,2,2,2,2,2.0,1
SGP202315919,2,2,2,2,2.0,1
SGP202315921,2,2,2,2,2.0,1
SGP202316033,2,2,1,2,2.0,1
SGP202316112,2,2,2,2,2.0,1
SGP202316180,2,2,2,2,2.0,1
SGP202316199,2,2,2,2,2.0,1
SGP202316530,2,2,2,2,2.0,1
SGP202316697,2,2,2,2,2.0,1
SGP202316706,2,2,2,2,2.0,1
SGP202316739,2,2,1,2,2.0,1
SGP202316743,2,2,1,2,2.0,1
SGP202417331,2,2,2,2,2.0,1
SGP202417357,2,2,2,2,2.0,1
SGP202417479,2,2,2,2,2.0,1
SGP202417753,2,2,1,2,2.0,1
SGP202417942,2,2,2,2,2.0,1
SGP202417993,2,2,2,2,2.0,1
SGP202418259,2,2,2,2,2.0,1
SGP202418277,2,2,2,2,2.0,1
SGP202418613,2,2,2,2,2.0,1
SGP202418636,2,2,2,2,2.0,1
SGP202418670,2,2,2,2,2.0,1
SGP202418918,2,2,2,2,2.0,1
SGP202418995,2,2,2,2,2.0,1
SGP202419135,2,2,2,2,2.0,1
SGP202419148,2,2,2,2,2.0,1
SGP202419167,2,2,2,2,2.0,1
SGP202419173,2,2,2,2,2.0,1
SGP202419286,2,2,2,2,2.0,1
SGP202419859,2,2,1,2,2.0,1
SGP202419899,2,2,2,2,2.0,1
SGP202420041,2,2,2,2,2.0,1
SGP202420128,2,2,2,2,2.0,1
SGP202420245,2,2,2,2,2.0,1
SGP202420276,2,2,2,2,2.0,1
SGP202420393,2,2,2,2,2.0,1
SGP202420775,2,2,2,2,2.0,1
SGP202420811,2,2,2,2,2.0,1
SGP202420911,2,2,2,2,2.0,1
SGP202421118,2,2,2,2,2.0,1
SGP202421142,2,2,2,2,2.0,1
SGP202421273,2,2,2,2,2.0,1
SGP202421305,2,2,2,2,2.0,1
SGP202421491,2,2,1,2,2.0,1
SGP202421875,2,2,1,2,2.0,1
SGP202422130,2,2,2,2,2.0,1
SGP202422143,2,2,2,2,2.0,1
SGP202422181,2,2,2,2,2.0,1
SGP202422280,2,2,1,2,2.0,1
SGP202422300,2,2,2,2,2.0,1
SGP202422343,2,2,2,2,2.0,1
SGP202422345,2,2,2,2,2.0,1
SGP202422407,2,2,2,2,2.0,1
SGP202422596,2,2,2,2,2.0,1
SGP202422818,2,2,2,2,2.0,1
SGP202423026,2,2,2,2,2.0,1
SGP202423073,2,2,1,2,2.0,1
SGP202423162,2,2,2,2,2.0,1
SGP202423176,2,2,2,2,2.0,1
SGP202423262,2,2,2,2,2.0,1
SGP202423291,2,2,2,2,2.0,1
SGP202423292,2,2,2,2,2.0,1
SGP202423594,2,2,2,2,2.0,1
SGP202423602,2,2,1,2,2.0,1
SGP202423673,2,2,1,2,2.0,1
SGP202423723,2,2,1,2,2.0,1
SGP202624541,2,2,2,2,2.0,1
SGP202624618,2,2,2,2,2.0,1
SGP202624630,2,2,2,2,2.0,1
SGP202624656,2,2,2,2,2.0,1
SGP202624692,2,2,2,2,2.0,1
SGP202624840,2,2,2,2,2.0,1
SGP202624958,2,2,2,2,2.0,1
SGP202421618,1,215,189,1,1.0,0
SGE202313611,1,129,106,1,1.0,0
SGP202207891,1,112,80,1,1.0,0
SGP202207265,1,104,81,1,1.0,0
SGP202207868,1,100,79,1,1.0,0
86658,1,91,47,1,1.0,0
SGE202207714,1,91,84,1,1.0,0
SGP202316664,1,91,88,1,1.0,0
CAJAS 07,1,86,86,1,1.0,0
M.DEST 11/11,1,86,86,1,1.0,0
MDBELEN17112022,1,84,84,1,1.0,0
SGE202419880,1,83,75,1,1.0,0
71998,1,82,82,1,1.0,0
SGP202315065,1,81,75,1,1.0,0
SGE202418612,1,76,62,1,1.0,0
SGP202208493,1,76,60,1,1.0,0
SGP202315443,1,76,69,1,1.0,0
SGP202422068,1,74,60,1,1.0,0
SGP202421766,1,70,49,1,1.0,0
SGP202208570,1,69,62,1,1.0,0
SGE202207621,1,63,55,1,1.0,0
SGP202314496,1,63,59,1,1.0,0
98631,1,59,42,1,1.0,0
SGE202207329,1,58,6,1,1.0,0
SGP202314299,1,56,33,1,1.0,0
MOB 6ª PLANTA,1,54,3,1,1.0,0
SGE202208906,1,54,8,1,1.0,0
SGE202312182,1,54,43,1,1.0,0
SGP202210209,1,54,1,1,1.0,0
SGP202209153,1,53,1,1,1.0,0
SGP202418978,1,53,44,1,1.0,0
SGP202421762,1,51,50,1,1.0,0
SGP202314495,1,48,40,1,1.0,0
SGP202418702,1,48,1,1,1.0,0
SGP202423436,1,48,47,1,1.0,0
97772,1,47,4,1,1.0,0
SGP202423489,1,47,33,1,1.0,0
SGP202315756,1,46,41,1,1.0,0
MD141120232,1,45,45,1,1.0,0
SGE202313513,1,45,6,1,1.0,0
SGP202311892,1,45,31,1,1.0,0
SGE202314354,1,44,4,1,1.0,0
SGE202421946,1,44,29,1,1.0,0
83443,1,43,36,1,1.0,0
