pedido_id,n_propietarios_distintos,n_lineas_pi_totales,n_skus_distintos_totales,proxy_recorridos,penalty_ratio,is_multi_propietario
SGE202209359,4,59,37,4,4.0,1
SGE202418186,4,40,40,4,4.0,1
SGE202208893,4,39,32,4,4.0,1
SGE202207651,4,37,27,4,4.0,1
SGE202311889,4,37,6,4,4.0,1
SGE202314535,4,37,23,4,4.0,1
SGE202316057,4,36,19,4,4.0,1
SGE202422273,4,36,15,4,4.0,1
SGE202208104,4,35,31,4,4.0,1
SGE202311066,4,33,30,4,4.0,1
SGE202420418,4,28,21,4,4.0,1
SGE202625096,4,28,18,4,4.0,1
SGE202206609,4,26,17,4,4.0,1
SGE202207553,4,26,19,4,4.0,1
SGE202209218,4,26,15,4,4.0,1
SGE202312353,4,26,19,4,4.0,1
SGE202419172,4,26,14,4,4.0,1
SGE202422874,4,24,11,4,4.0,1
SGE202421104,4,23,11,4,4.0,1
SGE202421170,4,23,16,4,4.0,1
SGE202421759,4,23,12,4,4.0,1
SGE202422128,4,23,16,4,4.0,1
SGE202314369,4,22,18,4,4.0,1
SGE202209508,4,21,18,4,4.0,1
SGE202208081,4,20,15,4,4.0,1
SGE202210503,4,20,19,4,4.0,1
SGE202315030,4,20,8,4,4.0,1
SGE202419551,4,20,15,4,4.0,1
SGE202420063,4,20,12,4,4.0,1
SGP202315543,4,20,20,4,4.0,1
SGE202209967,4,19,18,4,4.0,1
SGE202311096,4,19,19,4,4.0,1
SGE202311374,4,19,12,4,4.0,1
SGE202316172,4,19,15,4,4.0,1
SGE202418886,4,19,17,4,4.0,1
SGE202419538,4,19,16,4,4.0,1
SGE202422831,4,19,17,4,4.0,1
SGP202422226,4,19,16,4,4.0,1
SGE202208895,4,18,15,4,4.0,1
SGE202314718,4,18,11,4,4.0,1
SGE202315638,4,18,15,4,4.0,1
SGE202208910,4,17,10,4,4.0,1
SGE202311998,4,17,12,4,4.0,1
SGE202417614,4,17,16,4,4.0,1
SGE202418135,4,17,16,4,4.0,1
SGE202419865,4,17,13,4,4.0,1
SGE202423277,4,17,14,4,4.0,1
SGE202208107,4,16,14,4,4.0,1
SGE202314402,4,16,15,4,4.0,1
SGE202422072,4,16,6,4,4.0,1
SGE202422133,4,16,16,4,4.0,1
SGE202423362,4,16,13,4,4.0,1
SGE202624506,4,16,8,4,4.0,1
SGP202313424,4,16,14,4,4.0,1
SGE202208086,4,15,11,4,4.0,1
SGE202208233,4,15,12,4,4.0,1
SGE202209433,4,15,14,4,4.0,1
SGE202209461,4,15,10,4,4.0,1
SGE202312770,4,15,13,4,4.0,1
SGE202315132,4,15,13,4,4.0,1
SGE202419955,4,15,15,4,4.0,1
SGE202421767,4,15,13,4,4.0,1
SGE202311756,4,14,11,4,4.0,1
SGE202315336,4,14,9,4,4.0,1
SGE202315853,4,14,13,4,4.0,1
SGE202418819,4,14,14,4,4.0,1
SGE202420228,4,14,12,4,4.0,1
SGE202422121,4,14,13,4,4.0,1
SGE202422420,4,14,9,4,4.0,1
SGE202423164,4,14,13,4,4.0,1
SGE202423393,4,14,10,4,4.0,1
SGE202206152,4,13,11,4,4.0,1
SGE202419026,4,13,9,4,4.0,1
SGE202419686,4,13,10,4,4.0,1
SGE202420027,4,13,10,4,4.0,1
SGE202420433,4,13,12,4,4.0,1
SGE202207795,4,12,7,4,4.0,1
SGE202417613,4,12,12,4,4.0,1
SGE202419119,4,12,10,4,4.0,1
SGE202420943,4,12,7,4,4.0,1
SGE202422944,4,12,11,4,4.0,1
SGE202423027,4,12,10,4,4.0,1
SGP202315673,4,12,9,4,4.0,1
SGP202418189,4,12,10,4,4.0,1
SGE202206458,4,11,10,4,4.0,1
SGE202208611,4,11,10,4,4.0,1
SGE202209408,4,11,9,4,4.0,1
SGE202210073,4,11,11,4,4.0,1
SGE202311786,4,11,11,4,4.0,1
SGE202311816,4,11,9,4,4.0,1
SGE202312257,4,11,10,4,4.0,1
SGE202315865,4,11,10,4,4.0,1
SGE202316495,4,11,10,4,4.0,1
SGE202420754,4,11,11,4,4.0,1
SGP202417096,4,11,9,4,4.0,1
SGP202417988,4,11,10,4,4.0,1
SGE202207127,4,10,10,4,4.0,1
SGE202207665,4,10,9,4,4.0,1
SGE202209245,4,10,9,4,4.0,1
SGE202210191,4,10,10,4,4.0,1
SGE202210633,4,10,10,4,4.0,1
SGE202313055,4,10,10,4,4.0,1
SGE202315821,4,10,6,4,4.0,1
SGE202421614,4,10,8,4,4.0,1
SGP202311490,4,10,10,4,4.0,1
SGP202313401,4,10,10,4,4.0,1
SGP202417090,4,10,9,4,4.0,1
SGP202417989,4,10,9,4,4.0,1
SGP202417990,4,10,10,4,4.0,1
SGE202312312,4,9,8,4,4.0,1
