segment,sku,sku_name,transaction_count,ubicacion_mode,n_transactions,support,cluster_id,cluster_size,cluster_transaction_count
ALL,204090,CODIGO LIBRE,29,021-103-00,7953,0.003646422733559663,7,6559,40210
ALL,013072,CERVEZA 33CL PINK LA PROHIBIDA,28,015-153-30,7953,0.00352068401860933,7,6559,40210
ALL,016037,BARRIL 30L SAN MIGUEL ESPECIAL,28,016-025-00,7953,0.00352068401860933,7,6559,40210
ALL,018078,AGUA CRISTAL 75CL SOLAN AZUL CAJA 12UND,28,014-130-20,7953,0.00352068401860933,7,6559,40210
ALL,022179,MESA MONACO ANTRACITA BRUTUS,28,015-152-30,7953,0.00352068401860933,7,6559,40210
ALL,031003,SILLA ROJA LOGO MAHOU 5 ESTRELLAS,28,016-079-40,7953,0.00352068401860933,7,6559,40210
ALL,051173,CUBO LUMINOSO LATON CERVEZAS ALHAMBRA,28,012-026-20,7953,0.00352068401860933,7,6559,40210
ALL,084031,CUBITERA TRANSPARENTE SOLAN LOGO BLANCO,28,011-122-30,7953,0.00352068401860933,7,6559,40210
ALL,092071,"BARRA 2,50CM MADERA/CHAPA MARRON MAHOU",28,014-124-00,7953,0.00352068401860933,7,6559,40210
ALL,126073,POSAVASO BRUTUS 2020,28,013-022-09,7953,0.00352068401860933,7,6559,40210
ALL,142020,PLANTA ARTIF. MACETERO ROJO (MEDIAPRO),28,012-082-00,7953,0.00352068401860933,7,6559,40210
